Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
DGNR/U,CCC Intelligent Solutions Hold,8.7,-36.1,-7.7,690.0,69.0,10.0,6.800000191,600.0,8/14/2020,N.A.,0.2,690.0,69.0,0.0144928,10000.0,10-Oct,Priced Within Range,1.0,5.0,5.0,0
DHX,DHI Group Inc,7.8,-24.8,0.9,220.896,61.961,13.0,3.076923132,805.49,7/18/2007,23331S100,0.6,220.896,61.961,85.564,40883000.0,13-Nov,Priced Within Range,4.0,8.0,159.0,0
DJO,DJO Opco Holdings Inc,44.3,3.0,2.6,175.95,17.8556,17.0,-10.29411793,303.55,11/14/2001,23325G104,1.8,175.95,17.8556,0.00634039,1500.0,16 - 18,Priced Within Range,0.0,22.0,78.0,0
DKL,Delek Logistics Partners LP,24.4,23.5,12.3,193.2,11.9993,21.0,6.428571224,251.99,11/2/2012,24664T103,6.3,193.2,11.9993,14.2064,6178680.0,19 - 21,Priced Within Range,2.0,2.0,2.0,0
DKS,Dick's Sporting Goods Inc,28.2,12.3,14.2,100.576,11.2912,12.0,9.583333015,135.49,10/16/2002,253393102,19.4,100.576,11.2912,113.709,63226000.0,15 - 18,Priced Below Range,5.0,17.0,92.0,0
DLB,Dolby Laboratories Inc,10.2,24.2,6.6,569.25,31.625,18.0,35.0,569.25,2/16/2005,25659T107,4.4,569.25,31.625,101.045,62234300.0,16 - 18,Priced Within Range,5.0,44.0,146.0,0
DLR,Digital Realty Trust Inc,13.4,38.6,3.8,257.056,20.0,12.0,0.0,240.0,10/29/2004,253868103,6.0,257.056,20.0,114.479,329152000.0,14 - 16,Priced Below Range,3.0,3.0,50.0,0
DLTH,Duluth Holdings Inc,9.3,4.2,4.4,92.004,28.9284,12.0,13.75,347.141,11/20/2015,26443V101,2.8,92.004,28.9284,33.0174,9909720.0,14 - 16,Priced Below Range,5.0,17.0,23.0,0
DMTX,Dimension Therapeutics Inc,48.0,-427.1,-70.9,72.8624,24.9844,13.0,-16.92307663,324.797,10/22/2015,25433V105,-1.9,72.8624,24.9844,0.00318466,808.0,14 - 16,Priced Below Range,0.0,21.0,29.0,0
DNB,Dun & Bradstreet Holdings Inc,24.5,-3.3,-0.3,1981.05,423.001,22.0,15.22727299,9306.03,7/1/2020,26484T106,1.1,1981.05,423.001,98.1151,427518000.0,19 - 21,Priced Above Range,0.0,7.0,45.0,1
DNDNQ,Dendreon Corp,-12.8,-104.6,-37.6,45.0,20.7562,10.0,-3.125,207.56,6/16/2000,24823Q107,-1.4,45.0,20.7562,0.00478021,7587.0,14-Dec,Priced Below Range,0.0,21.0,29.0,0
DNKN,Dunkin' Brands Group Inc,3.6,17.6,5.7,486.163,120.392,19.0,46.57894897,2287.45,7/27/2011,265504100,3.6,486.163,120.392,5.32579,4389360.0,16 - 18,Priced Above Range,5.0,17.0,33.0,1
DNLI,Denali Therapeutics Inc,-85.5,-597.1,-22.6,287.5,90.0628,18.0,19.16666603,1583.63,12/8/2017,24823R105,-1.7,287.5,90.0628,75.9608,103165000.0,17 - 19,Priced Within Range,0.0,21.0,29.0,0
DOC,Physicians Realty Trust,4.6,18.3,2.5,135.166,12.0036,11.5,0.0,138.04,7/19/2013,71943U104,1.1,135.166,12.0036,97.8961,223459000.0,11.50 - 13.50,Priced Within Range,3.0,3.0,136.0,0
DOCU,DocuSign Inc,45.0,-3.3,-4.3,723.695,155.364,29.0,37.0,4505.56,4/27/2018,256163106,2.5,723.695,155.364,85.0806,170824000.0,26 - 28,Priced Above Range,1.0,5.0,72.0,1
DOMO,Domo Inc,22.7,-39.5,-57.4,222.18,23.0701,21.0,30.0,484.472,6/29/2018,257554105,0.011836,222.18,23.0701,92.8151,28774700.0,19 - 22,Priced Within Range,1.0,5.0,81.0,0
DPLO,Diplomat Pharmacy Inc,22.4,-5.5,-43.8,199.333,51.4487,13.0,23.23077011,668.833,10/10/2014,25456K101,0.4,199.333,51.4487,23.1634,17560400.0,14 - 16,Priced Below Range,0.0,13.0,160.0,0
DPZ,Domino's Pizza Inc,5.8,11.7,26.3,339.107,68.6536,14.0,-3.571428537,961.15,7/12/2004,25754A201,17.5,339.107,68.6536,115.484,40880600.0,15 - 17,Priced Below Range,5.0,17.0,33.0,0
DRC,Dresser-Rand Group Inc,-7.2,4.3,2.3,652.05,85.4449,21.0,8.571428299,1794.34,8/5/2005,261608103,3.3,652.05,85.4449,0.206577,158917.0,19 - 21,Priced Within Range,2.0,29.0,161.0,0
DRH,DiamondRock Hospitality Co,89.3,-34.3,2.8,312.751,48.2376,10.5,0.952380955,506.495,5/26/2005,252784301,-0.0108792,312.751,48.2376,107.446,224966000.0,10.50 - 12.50,Priced Within Range,3.0,3.0,63.0,0
DRII,Diamond Resorts International,12.5,17.1,7.7,249.55,75.3941,14.0,15.35714245,1055.52,7/19/2013,25272T104,2.4,249.55,75.3941,0.073992,51622.0,16 - 18,Priced Below Range,5.0,11.0,125.0,0
DRNA,Dicerna Pharmaceuticals Inc,587.3,-68.6,-17.1,103.5,17.5276,15.0,206.6666718,262.91,1/30/2014,253031108,2.3,103.5,17.5276,0.984828,767072.0,14 - 14,Priced Above Range,0.0,21.0,29.0,1
DRRX,Durect Corp,-53.5,-259.4,-38.3,84.0,45.8057,12.0,20.05208397,549.668,9/28/2000,266605104,-0.1,84.0,45.8057,44.7221,101904000.0,12-Oct,Priced Within Range,0.0,13.0,15.0,0
DRSV,Debt Resolve Inc,-22.3,-40.1,-17.6,12.5,6.457,5.0,0.0,32.28,11/1/2006,24276R206,-0.0348729,12.5,6.457,0.078771,100000.0,5-May,Priced Within Range,4.0,8.0,116.0,0
DT,Dynatrace Inc,32.1,5.6,1.2,655.218,280.411,16.0,49.0625,4486.58,8/1/2019,268150109,0.8,655.218,280.411,105.881,304783000.0,13 - 15,Priced Above Range,1.0,5.0,82.0,1
DTIL,Precision BioSciences Inc,375.7,-26.4,-42.2,145.36,50.2153,16.0,9.0,803.445,3/28/2019,74019P108,-0.1,145.36,50.2153,52.4436,58190800.0,15 - 17,Priced Within Range,0.0,21.0,29.0,0
DTRM,Determine Inc,2.3,-35.3,-32.3,120.0,34.5563,30.0,370.78125,1036.69,3/9/2000,250660107,-0.1,120.0,34.5563,20.9946,5429040.0,23 - 25,Priced Above Range,1.0,5.0,81.0,1
DVAX,Dynavax Technologies Corp,844.0,17.4,27.8,51.75,23.6738,7.5,25.33333397,177.55,2/19/2004,268158201,2.8,51.75,23.6738,104.143,132871000.0,14-Dec,Priced Below Range,0.0,21.0,29.0,0
DXCM,Dexcom Inc,27.0,6.3,4.7,56.4,25.1868,12.0,-2.166666746,302.24,4/14/2005,252131107,1.1,56.4,25.1868,105.7,408277000.0,14-Dec,Priced Within Range,0.0,13.0,162.0,0
DZSI,DZS Inc,16.4,-9.9,-8.2,155.25,109.293,15.0,39.53333282,1639.39,5/17/2001,268211109,-0.5,155.25,109.293,38.6223,10796100.0,13 - 15,Priced Within Range,4.0,23.0,34.0,0
EACIQ,Erickson Inc,-14.1,-29.1,-10.8,38.4,9.603,8.0,0.0,76.82,4/11/2012,29482P100,1.5,38.4,9.603,0.0270665,3761.0,9-Aug,Priced Within Range,8.0,54.0,163.0,0
EAF,GrafTech International Ltd,9.9,28.8,32.0,571.463,302.226,15.0,-3.666666746,4533.39,4/19/2018,384313508,1.6,571.463,302.226,95.4185,244841000.0,21 - 24,Priced Below Range,8.0,36.0,164.0,0
EAGLU,Target Hospitality Corp,29.4,-1.5,7.1,325.0,32.5,10.0,0.100000002,325.0,1/12/2018,727653206,1.0,325.0,32.5,6.39077,2077000.0,10-Oct,Priced Within Range,0.0,7.0,45.0,0
EAR,Eargo Inc,-53.5,-491.1,-100.3,162.535,36.3213,18.0,87.1111145,653.783,10/16/2020,270087109,-1.8,162.535,36.3213,61.2944,24156800.0,14 - 16,Priced Above Range,0.0,22.0,61.0,1
EARN,Ellington Residential Mortgage,-93.9,-291.2,-2.4,129.0,9.1334,20.0,-3.900000095,182.67,5/1/2013,288578107,2.2,129.0,9.1334,30.1485,3993250.0,20 - 20,Priced Within Range,3.0,3.0,165.0,0
EB,Eventbrite Inc,76.5,-74.3,-8.1,264.5,11.5,23.0,58.69565201,264.5,9/20/2018,3.00E+113,0.8,264.5,11.5,115.611,93702300.0,21 - 23,Priced Within Range,4.0,8.0,9.0,0
EBC,Eastern Bankshares Inc,6.1,24.8,0.9,1792.88,0.0,10.0,21.5,0.0,10/15/2020,27627N105,0.8,1792.88,0.0,57.3576,101338000.0,10-Oct,Priced Within Range,3.0,9.0,10.0,0
EBS,Emergent BioSolutions Inc,15.2,12.8,1.8,62.5,27.4204,12.5,-6.400000095,342.75,11/15/2006,29089Q105,6.0,62.5,27.4204,85.2928,42551000.0,14 - 16,Priced Below Range,0.0,21.0,29.0,0
EBSB,Meridian Bancorp Inc,-3.5,30.9,1.2,100.5,23.0,10.0,-4.0,230.0,1/23/2008,58958U103,1.3,100.5,23.0,11.3116,5969340.0,10-Oct,Priced Within Range,3.0,20.0,28.0,0
ECHO,Echo Global Logistics Inc,14.9,0.6,5.6,79.8,21.4937,14.0,0.428571433,300.912,10/2/2009,27875T101,2.4,79.8,21.4937,7.4155,1974820.0,13 - 15,Priced Within Range,8.0,54.0,166.0,0
ECOM,ChannelAdvisor Corp,15.6,28.1,17.4,92.575,21.3341,14.0,31.7142849,298.68,5/23/2013,159179100,1.1,92.575,21.3341,114.4,33079400.0,14-Dec,Priced Within Range,4.0,8.0,9.0,0
ECOR,ElectroCore Inc,55.9,-315.8,-61.3,89.7,28.3414,15.0,32.33333206,425.121,6/22/2018,28531P103,-0.2,89.7,28.3414,16.6139,11825300.0,14 - 16,Priced Within Range,0.0,21.0,29.0,0
ECVT,Ecovyst Inc,23.2,-22.9,2.9,507.5,135.22,17.5,-1.428571463,2366.35,9/29/2017,27923Q109,0.9,507.5,135.22,66.7195,86904300.0,21 - 23,Priced Below Range,6.0,14.0,75.0,0
EDIT,Editas Medicine Inc,-71.8,-753.6,-32.2,108.56,36.5845,16.0,13.75,585.352,2/3/2016,28106W103,-2.4,108.56,36.5845,94.7829,65175600.0,16 - 18,Priced Within Range,0.0,21.0,29.0,0
EEX,Emerald Holding Inc,14.2,-53.6,9.4,303.025,72.2022,17.0,14.70588207,1227.44,4/28/2017,29103W104,1.2,303.025,72.2022,89.0743,60222700.0,18 - 20,Priced Below Range,0.0,7.0,45.0,0
EGIO,Edgio Inc,-5.4,-25.1,-12.2,276.0,81.8336,15.0,47.86666489,1227.5,6/8/2007,53261M104,0.000109556,276.0,81.8336,78.1096,173079000.0,14-Dec,Priced Above Range,4.0,8.0,167.0,1
EGLE,Eagle Bulk Shipping Inc,116.0,31.1,27.0,201.6,27.15,14.0,-3.571428537,380.1,6/23/2005,N.A.,16.8,201.6,27.15,87.0197,11905100.0,16 - 18,Priced Below Range,8.0,54.0,168.0,0
EGLTQ,Zyla Life Sciences,167.8,74.5,-22.0,57.96,15.2875,12.0,0.0,183.45,2/6/2014,28226B104,-0.1,57.96,15.2875,7.21975,3486680.0,13-Nov,Priced Within Range,0.0,13.0,65.0,0
EGRX,Eagle Pharmaceuticals Inc/DE,-8.6,-5.0,7.7,50.25,13.902,15.0,-14.46666622,208.53,2/12/2014,269796108,2.1,50.25,13.902,109.776,14288300.0,14 - 16,Priced Within Range,0.0,13.0,15.0,0
EHTH,eHealth Inc,-7.6,-19.3,-12.8,80.5,21.6985,14.0,63.57143021,303.78,10/13/2006,28238P109,-6.0,80.5,21.6985,79.3186,21751000.0,12-Oct,Priced Above Range,3.0,18.0,118.0,1
EIG,Employers Holdings Inc,-1.1,16.9,1.4,522.963,52.7152,17.0,17.47058868,896.16,1/31/2007,292218104,0.3,522.963,52.7152,82.7506,22505500.0,14 - 16,Priced Above Range,3.0,18.0,25.0,1
EIGI,Endurance International Group,-2.8,-1.1,0.7,252.612,126.238,12.0,-6.25,1514.86,10/25/2013,29272B105,1.1,252.612,126.238,18.3726,26036400.0,14 - 16,Priced Below Range,4.0,8.0,169.0,0
ELAN,Elanco Animal Health Inc,45.5,-9.9,-0.7,1736.04,365.625,24.0,50.0,8775.0,9/20/2018,28414H103,0.9,1736.04,365.625,105.424,499926000.0,20 - 23,Priced Above Range,0.0,13.0,16.0,1
ELF,elf Beauty Inc,23.2,5.5,6.5,162.916,44.3798,17.0,55.88235474,754.457,9/22/2016,26856L103,0.3,162.916,44.3798,113.788,60237200.0,14 - 16,Priced Above Range,0.0,53.0,145.0,1
ELLI,Ellie Mae Inc,15.1,4.7,2.5,50.6614,20.4001,6.0,12.83333302,122.4,4/15/2011,28849P100,3.5,50.6614,20.4001,1.63222,572003.0,6-Jun,Priced Within Range,3.0,26.0,170.0,0
ELV,Elevance Health Inc,13.7,4.4,6.1,1987.2,102.861,36.0,13.61111069,3703.0,10/30/2001,36752103,34.3,1987.2,102.861,97.831,233647000.0,33 - 37,Priced Within Range,0.0,0.0,142.0,0
ELVT,Elevate Credit Inc,-10.4,-8.0,-9.4,92.69,41.3597,6.5,19.38461494,268.838,4/6/2017,28621V101,4.5,92.69,41.3597,32.4245,10131500.0,6.50 - 6.50,Priced Within Range,3.0,26.0,152.0,0
EMPW/U,Holley Inc,37.4,-3.9,1.2,250.0,25.0,10.0,-1.299999952,250.0,10/7/2020,N.A.,0.2,250.0,25.0,7.62784,2455210.0,10-Oct,Priced Within Range,5.0,38.0,69.0,0
ENBL,Enable Midstream Partners LP,-16.7,3.5,3.9,575.0,207.855,20.0,11.0,4157.1,4/11/2014,292480100,1.7,575.0,207.855,0.547377,2385970.0,19 - 21,Priced Within Range,2.0,2.0,2.0,0
ENLC,EnLink Midstream LLC,71.7,0.3,2.9,51.7121,11.7333,19.5,30.2564106,228.8,1/13/2004,29336T100,1.7,51.7121,11.7333,93.468,442661000.0,16.50 - 18.50,Priced Above Range,2.0,2.0,2.0,1
ENLK,EnLink Midstream Partners LP,71.7,2.1,4.2,46.0,2.333,20.0,0.5,46.66,12/12/2002,29336U107,5.9,46.0,2.333,2.01191,2904370.0,19 - 21,Priced Within Range,2.0,2.0,2.0,0
ENOC,Enel X North America Inc,1.0,-12.4,-21.1,112.125,17.9706,26.0,19.73077011,467.24,5/17/2007,292764107,-1.5,112.125,17.9706,0.0285016,8935.0,23 - 25,Priced Above Range,7.0,39.0,171.0,1
ENOV,Enovis Corp,25.5,1.8,0.3,388.125,44.006,18.0,16.66666603,792.11,5/8/2008,194014502,6.9,388.125,44.006,103.592,56094600.0,15 - 17,Priced Above Range,8.0,36.0,172.0,1
ENPH,Enphase Energy Inc,78.4,10.5,12.0,61.8912,40.6363,6.0,22.33333397,243.82,3/30/2012,29355A107,2.6,61.8912,40.6363,81.6412,110970000.0,7-Jun,Priced Within Range,2.0,15.0,19.0,0
ENS,EnerSys,12.7,4.2,3.6,156.25,45.9456,12.5,0.0,574.32,7/30/2004,29275Y102,-1.5,156.25,45.9456,113.407,46303700.0,15 - 17,Priced Below Range,8.0,52.0,173.0,0
ENSG,Ensign Group Inc/The,9.3,7.4,7.0,73.6,21.0464,16.0,0.875,336.74,11/9/2007,29358P101,5.0,73.6,21.0464,95.4527,52961200.0,18 - 20,Priced Below Range,0.0,0.0,174.0,0
ENTA,Enanta Pharmaceuticals Inc,-20.7,-81.3,-28.7,64.4,17.4366,14.0,22.7142849,244.11,3/21/2013,29251M106,-3.4,64.4,17.4366,97.1641,20137100.0,14 - 16,Priced Within Range,0.0,13.0,15.0,0
ENTG,Entegris Inc,23.6,17.8,4.1,143.0,67.0095,11.0,1.704545498,737.1,7/10/2000,29362U104,2.9,143.0,67.0095,102.719,153087000.0,13-Nov,Priced Within Range,1.0,4.0,54.0,0
ENTL,Entellus Medical Inc,22.1,-38.2,-16.9,89.9997,18.3335,17.0,29.41176414,299.931,1/29/2015,29363K105,-1.0,89.9997,18.3335,0.15692,47119.0,15 - 17,Priced Within Range,0.0,22.0,78.0,0
ENV,Envestnet Inc,18.8,1.1,-2.2,72.45,31.5009,9.0,13.66666698,283.51,7/29/2010,29404K106,4.6,72.45,31.5009,118.357,65482200.0,10-Sep,Priced Within Range,1.0,5.0,82.0,0
EOLS,Evolus Inc,76.2,-46.9,-38.9,60.57,23.6404,12.0,-4.166666508,283.685,2/8/2018,30052C107,-0.6,60.57,23.6404,43.8111,24642200.0,14-Dec,Priced Within Range,0.0,21.0,29.0,0
EPAM,EPAM Systems Inc,41.3,12.8,11.6,82.8,42.026,12.0,16.66666603,504.31,2/8/2012,29414B104,10.1,82.8,42.026,97.0472,55815200.0,16 - 18,Priced Below Range,1.0,1.0,31.0,0
EPEGQ,EP Energy Corp,-23.7,-101.8,-23.9,704.0,243.875,20.0,-9.600000381,4877.5,1/17/2014,268785102,0.9,704.0,243.875,39.3586,100200000.0,23 - 27,Priced Below Range,2.0,28.0,43.0,0
EPRSQ,EPIRUS Biopharmaceuticals Inc,17425.0,-7444.7,-79.7,48.3,22.3209,7.0,12.14285755,156.25,11/9/2005,29428P107,-2.0,48.3,22.3209,0.0534709,14001.0,12-Oct,Priced Below Range,0.0,13.0,15.0,0
EPZM,Epizyme Inc,137.4,-670.9,-67.3,88.6995,28.4151,15.0,53.26666641,426.23,5/31/2013,29428V104,-2.2,88.6995,28.4151,13.0268,21932500.0,13 - 15,Priced Within Range,0.0,21.0,29.0,0
EQBK,Equity Bancshares Inc,-0.2,29.9,1.2,50.1975,7.441,22.5,6.177777767,0.0,11/11/2015,29460X109,6.8,50.1975,7.441,72.338,11529300.0,22 - 24,Priced Within Range,3.0,9.0,44.0,0
EQGP,EQGP Holdings LP,13.3,31.4,5.5,714.15,266.165,27.0,21.92592621,7186.45,5/12/2015,26885J103,2.4,714.15,266.165,0.0155393,47000.0,21 - 24,Priced Above Range,2.0,28.0,43.0,1
EQH,Equitable Holdings Inc,-11.1,-3.9,1.0,3156.75,561.0,20.0,1.700000048,11220.0,5/10/2018,2.95E+105,-1.8,3156.75,561.0,110.396,408513000.0,24 - 27,Priced Below Range,3.0,18.0,60.0,0
EQM,EQM Midstream Partners LP,9.0,11.2,1.6,301.875,17.3397,21.0,13.09523773,364.13,6/27/2012,26885B100,5.5,301.875,17.3397,0.218295,437589.0,19 - 21,Priced Within Range,2.0,2.0,2.0,0
ERII,Energy Recovery Inc,-12.6,13.7,7.6,136.85,47.9175,8.5,15.64705849,407.3,7/2/2008,29270J100,0.2,136.85,47.9175,84.2885,47198200.0,9-Jul,Priced Within Range,8.0,33.0,84.0,0
ERPLQ,Energy Partners Ltd/Old,-21.5,-14.6,-15.9,86.25,27.0575,15.0,-3.333333254,405.86,11/2/2000,29270U105,5.7,86.25,27.0575,0.0185833,6000.0,17 - 19,Priced Below Range,2.0,28.0,43.0,0
ESNT,Essent Group Ltd,7.6,66.2,15.5,385.332,86.4946,17.0,23.52941132,1470.41,10/31/2013,N.A.,6.3,385.332,86.4946,105.789,113942000.0,13.50 - 15.50,Priced Above Range,3.0,18.0,175.0,1
ESPR,Esperion Therapeutics Inc,-65.5,-343.0,-90.4,80.5,15.3293,14.0,3.571428537,214.61,6/26/2013,29664W105,-9.1,80.5,15.3293,120.491,88781900.0,13 - 15,Priced Within Range,0.0,21.0,29.0,0
ESQ,Esquire Financial Holdings Inc,23.0,27.3,2.1,38.059,7.2116,14.0,8.928571701,100.962,6/27/2017,29667J101,4.0,38.059,7.2116,63.8705,5205010.0,14 - 16,Priced Within Range,3.0,9.0,10.0,0
ESRT,Empire State Realty Trust Inc,2.4,-1.0,0.6,1068.93,100.118,13.0,0.769230783,1301.53,10/2/2013,292104106,1.2,1068.93,100.118,87.4692,140326000.0,13 - 15,Priced Within Range,3.0,3.0,157.0,0
ESTC,Elastic NV,41.7,-23.6,-15.4,289.8,70.5427,36.0,94.44444275,2539.54,10/5/2018,N.A.,0.0612877,289.8,70.5427,84.1604,80019600.0,33 - 35,Priced Above Range,1.0,5.0,5.0,1
ET,Energy Transfer LP,73.0,8.1,4.4,507.15,139.655,21.0,7.857142925,2932.76,2/2/2006,29273V100,4.0,507.15,139.655,38.7552,1196950000.0,19 - 21,Priced Within Range,2.0,2.0,2.0,0
ETON,Eton Pharmaceuticals Inc,55879.4,-8.9,-45.1,24.84,16.8584,6.0,4.166666508,101.15,11/13/2018,29772L108,-0.1,24.84,16.8584,24.1527,6109930.0,6-Jun,Priced Within Range,0.0,13.0,15.0,0
ETP,Energy Transfer Operating LP,-28.1,-0.3,-0.1,116.438,11.3836,20.25,9.135802269,230.52,2/5/2002,29278N103,6.7,116.438,11.3836,0.623741,7280220.0,19 - 21,Priced Within Range,2.0,2.0,2.0,0
ETSY,Etsy Inc,34.9,21.1,-21.5,306.667,110.963,16.0,87.5,1775.41,4/16/2015,29786A106,5.1,306.667,110.963,111.983,140749000.0,14 - 16,Priced Within Range,4.0,8.0,138.0,0
EVA,Enviva Inc,19.0,-11.7,-11.1,230.0,13.405,20.0,7.5,268.1,4/29/2015,29415B103,0.7,230.0,13.405,88.1011,58855500.0,19 - 21,Priced Within Range,2.0,15.0,19.0,0
EVBG,Everbridge Inc,35.8,-25.7,-6.8,103.5,26.9236,12.0,27.08333397,323.083,9/16/2016,29978A104,0.5,103.5,26.9236,101.693,40601600.0,13-Nov,Priced Within Range,1.0,5.0,81.0,0
EVC,Entravision Communications Cor,120.9,3.8,2.7,759.0,103.509,16.5,15.15151501,1707.9,8/2/2000,29382R107,0.7,759.0,103.509,83.4374,51285300.0,13 - 15,Priced Above Range,4.0,19.0,26.0,1
EVER,EverQuote Inc,20.6,-4.6,-15.6,84.375,4.8519,18.0,0.111111112,87.3342,6/28/2018,30041R108,0.2,84.375,4.8519,76.2517,19814400.0,15 - 17,Priced Above Range,4.0,8.0,9.0,1
EVFM,Evofem Biosciences Inc,1748.4,-2488.9,-349.5,65.1,13.6201,14.0,-14.28571415,190.681,11/20/2014,30048L203,-16.8,65.1,13.6201,1.06498,910120.0,13 - 15,Priced Within Range,0.0,13.0,160.0,0
EVH,Evolent Health Inc,-1.8,-4.1,-0.8,224.825,41.4517,17.0,10.94117641,704.679,6/5/2015,30050B101,0.4,224.825,41.4517,110.894,112214000.0,14 - 16,Priced Above Range,1.0,5.0,81.0,1
EVOK,Evoke Pharma Inc,6929.0,-527.6,-50.3,28.98,6.09675,12.0,-2.166666746,73.16,9/25/2013,30049G203,-4.6,28.98,6.09675,6.64605,222182.0,14-Dec,Priced Within Range,0.0,21.0,29.0,0
EVOP,Evo Payments Inc,13.1,1.7,0.6,257.6,17.242,16.0,18.875,1280.35,5/23/2018,2.69E+108,2.2,257.6,17.242,116.269,56153200.0,14 - 16,Priced Within Range,0.0,7.0,115.0,0
EVR,Evercore Inc,44.3,22.3,19.6,95.3925,4.5925,21.0,18.33333397,96.44,8/11/2006,29977A105,34.5,95.3925,4.5925,98.0463,38078900.0,18 - 20,Priced Above Range,3.0,26.0,76.0,1
EVRI,Everi Holdings Inc,72.1,23.1,11.6,255.967,82.7192,14.0,6.857142925,1158.07,9/23/2005,30034T103,4.3,255.967,82.7192,95.3903,85342500.0,14-Dec,Priced Within Range,5.0,16.0,176.0,0
EVTV,Envirotech Vehicles Inc,230.5,-374.5,-12.9,12.5,0.0,5.0,45.0,0.0,6/15/2017,29414V209,-1.1,12.5,0.0,13.1748,1979000.0,5-May,Priced Within Range,5.0,55.0,177.0,0
EXA,Exa Corp,10.9,-1.5,-8.1,62.5,13.1932,10.0,-2.0,131.93,6/28/2012,300614500,0.1,62.5,13.1932,0.00495337,748.0,13-Nov,Priced Below Range,1.0,5.0,71.0,0
EXAS,Exact Sciences Corp,18.4,-33.7,-11.0,56.0,18.6563,14.0,5.357142925,261.19,1/30/2001,30063P105,-0.6,56.0,18.6563,98.8014,175554000.0,14 - 16,Priced Within Range,0.0,22.0,112.0,0
EXEL,Exelixis Inc,45.3,16.1,11.3,118.3,40.3458,13.0,16.82692337,524.5,4/11/2000,30161Q104,1.2,118.3,40.3458,92.9171,299715000.0,12-Oct,Priced Above Range,0.0,21.0,29.0,1
EXLS,ExlService Holdings Inc,17.1,10.2,11.2,77.625,28.0887,13.5,39.55555725,379.2,10/19/2006,302081104,5.5,77.625,28.0887,106.717,35285500.0,12-Oct,Priced Above Range,1.0,1.0,31.0,1
EXPR,Express Inc,54.7,-0.7,1.3,272.0,88.7359,17.0,-1.470588207,1508.51,5/13/2010,3.02E+107,1.3,272.0,88.7359,60.4319,41243000.0,18 - 20,Priced Below Range,5.0,17.0,23.0,0
EXR,Extra Space Storage Inc,16.3,52.4,8.5,290.375,28.1399,12.5,0.0,351.75,8/12/2004,30225T102,7.1,290.375,28.1399,103.868,139101000.0,13 - 15,Priced Below Range,3.0,3.0,150.0,0
EYE,National Vision Holdings Inc,21.4,6.1,3.7,399.74,74.6538,22.0,26.5,1642.38,10/26/2017,63845R107,3.1,399.74,74.6538,151.237,119345000.0,18 - 20,Priced Above Range,5.0,17.0,178.0,1
EYEN,Eyenovia Inc,600.0,-91.2,-51.8,27.3,9.9367,10.0,-0.800000012,99.367,1/25/2018,3.02E+108,-0.7,27.3,9.9367,8.35101,3015800.0,12-Oct,Priced Within Range,0.0,13.0,15.0,0
FANG,Diamondback Energy Inc,82.1,39.2,18.8,251.562,36.987,17.5,0.0,647.27,10/12/2012,25278X109,22.3,251.562,36.987,99.1112,174434000.0,17 - 19,Priced Within Range,2.0,28.0,43.0,0
FAT,FAT Brands Inc,556.1,-26.5,-8.0,24.0,0.0,12.0,-5.666666508,0.0,10/23/2017,30258N105,0.046531,24.0,0.0,7.79294,1193040.0,12-Dec,Priced Within Range,5.0,17.0,33.0,0
FATE,Fate Therapeutics Inc,77.6,-379.8,-33.9,46.0002,19.1566,6.0,10.33333302,114.94,10/1/2013,31189P102,-1.7,46.0002,19.1566,113.396,110188000.0,8-Jun,Priced Within Range,0.0,21.0,29.0,0
FBK,FB Financial Corp,-0.5,33.0,1.1,128.531,23.9848,19.0,9.210526466,455.711,9/16/2016,30257X104,1.1,128.531,23.9848,66.7685,31334400.0,16 - 18,Priced Above Range,3.0,9.0,91.0,1
FBM,Foundation Building Materials,5.3,1.8,3.2,206.08,42.7742,14.0,10.71428585,598.839,2/10/2017,350392106,3.3,206.08,42.7742,10.0355,4336050.0,17 - 19,Priced Below Range,5.0,17.0,93.0,0
FBRC,FBR & Co,-22.9,-55.1,-5.5,220.846,65.5833,17.0,5.882352829,1114.92,6/8/2007,30247C400,-3.1,220.846,65.5833,0.00467664,332.0,16 - 18,Priced Within Range,3.0,26.0,76.0,0
FCRD,First Eagle Alternative Capita,5.5,56.3,-7.1,203.381,19.7919,13.0,-1.923076868,257.29,4/22/2010,26943B100,-1.0,203.381,19.7919,43.8545,13122200.0,15 - 15,Priced Below Range,3.0,24.0,37.0,0
FDC,First Data Corp,-21.1,10.5,2.1,2817.23,176.077,16.0,-1.5625,14387.2,10/15/2015,32008D106,2.4,2817.23,176.077,100.807,581802000.0,18 - 20,Priced Below Range,1.0,5.0,72.0,0
FDMT,4D Molecular Therapeutics Inc,32.5,-395.3,-36.4,222.18,26.4937,23.0,76.08695984,609.355,12/11/2020,3.51E+104,-2.4,222.18,26.4937,81.3661,26356400.0,22 - 23,Priced Within Range,0.0,21.0,29.0,0
FDUS,Fidus Investment Corp,6.2,128.3,9.3,80.5575,8.72652,15.0,0.0,130.9,6/21/2011,316500107,6.8,80.5575,8.72652,19.9906,4885180.0,15 - 15,Priced Within Range,3.0,24.0,37.0,0
