Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Month/Date,Month of Quarter,Real GDP Per Capita,OECD Leading Indicator,Interest Rate,Seasonally Adjusted Unemployment Rate,CPI Growth Rate,Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
CHUY,Chuy's Holdings Inc,23.5,7.6,4.9,87.2083,15.9184,13,15.84615421,206.94,7/24/12,171604101,2.5,87.2083,15.9184,104.264,18763700,7/1/12,7/1/12,51684.00,99.65778342,0.75,8.233350624,-0.162978586,13-Nov,Priced Within Range,5,17,33,1
CHWY,Chewy Inc,24.4,-0.8,-2.5,1023,46.5,22,59.04545593,1023,6/14/19,16679L109,0.4,1023,46.5,115.848,129202000,6/1/19,4/1/19,57418.00,99.43025865,3,3.689126149,0.019914718,19 - 21,Priced Above Range,4,8,138,1
CIEIQ,Cobalt International Energy In,220.6,-1796.7,-50.6,958.203,344.143,13.5,0,4645.93,12/16/09,19075F304,-8.2,958.203,344.143,2.05946,616290,12/1/09,10/1/09,49886.00,98.94790322,0.5,10.0976818,-0.176119817,15 - 17,Priced Below Range,2,28,43,0
CIM,Chimera Investment Corp,56.1,58.9,-3.9,511.25,37.7049,15,-0.666666687,565.57,11/16/07,16934Q208,2.2,511.25,37.7049,51.0556,118324000,11/1/07,10/1/07,52066.00,101.5178052,5,4.772251125,0.593961787,15 - 15,Priced Within Range,3,3,6,0
CLBK,Columbia Financial Inc,-5.5,33.8,0.9,498.32,115.889,10,54.20000076,1158.89,4/20/18,197641103,0.9,498.32,115.889,78.1095,85588900,4/1/18,4/1/18,56512.00,100.6581149,2.25,4.024101718,0.397509156,10-Oct,Priced Within Range,3,26,39,1
CLDPQ,Cloud Peak Energy Inc,-6.2,-86.2,-134.9,459,31.431,15,-1.066666722,471.47,11/20/09,18911Q102,0.2,459,31.431,0.586392,448638,11/1/09,10/1/09,49886.00,98.58341245,0.5,10.03839153,0.070775337,16 - 18,Priced Below Range,2,35,62,0
CLDR,Cloudera Inc,9.4,-18.7,-6.2,258.75,130.314,15,20.66666603,1954.71,4/28/17,18914U100,0.5,258.75,130.314,0.356493,1055990,4/1/17,4/1/17,55057.00,99.87725138,1.5,4.433586626,0.296553337,14-Dec,Priced Above Range,1,5,82,1
CLDT,Chatham Lodging Trust,40.7,-9,0.0463197,172.5,8.07655,20,2.5,161.53,4/16/10,16208T102,0.6,172.5,8.07655,88.5125,43200700,4/1/10,4/1/10,50424.00,99.72769411,0.75,10.14140777,0.173688491,20 - 20,Priced Within Range,3,3,63,1
CLMT,Calumet Specialty Products Par,38.7,-8.2,-6.9,140.93,13.066,21.5,1.162790656,280.92,1/26/06,131476103,-0.5,140.93,13.066,20.8741,16530100,1/1/06,1/1/06,51200.00,101.0885803,5.5,4.753347115,0.762195122,20.50 - 22.50,Priced Within Range,2,28,68,1
CLNE,Clean Energy Fuels Corp,-12.3,-36.4,-5.2,138,45.6934,12,0.333333343,548.32,5/25/07,184499101,0.1,138,45.6934,47.9642,106686000,5/1/07,4/1/07,51705.00,101.897221,6.25,4.507395483,0.611071867,13 - 17,Priced Below Range,5,17,139,1
CLPR,Clipper Realty Inc,-0.1,-6.1,-0.5,86.2663,17.8128,13.5,0,240.473,2/10/17,18885T306,0.6,86.2663,17.8128,43.314,6957620,2/1/17,1/1/17,54866.00,99.82153744,1.25,4.66429894,0.314611739,13.50 - 15.50,Priced Within Range,3,3,50,0
CLR,Continental Resources Inc/OK,121.1,29,18.7,442.5,168.019,15,-6,2520.28,5/15/07,212015101,11,442.5,168.019,13.7786,49276900,5/1/07,4/1/07,51705.00,101.897221,6.25,4.507395483,0.611071867,16 - 18,Priced Below Range,2,28,43,0
CLSD,Clearside Biomedical Inc,274.6,1.2,-11,50.4,19.5927,7,3.571428537,0,6/2/16,185063104,-0.1,50.4,19.5927,39.0847,23525300,6/1/16,4/1/16,54334.00,99.18337219,1,4.950735144,0.328436617,7-Jul,Priced Within Range,0,21,29,1
CLUBQ,Town Sports International Hold,5.3,-3.9,-19.9,116.35,25.9766,13,1.923076868,337.7,6/1/06,89214A102,1.1,116.35,25.9766,0.110167,89722,6/1/06,4/1/06,51210.00,101.0698362,6.25,4.703669147,0.197530864,14 - 14,Priced Below Range,5,12,140,1
CLVS,Clovis Oncology Inc,-9.5,-177.8,-58.9,139.1,21.6636,13,-3.384615421,281.63,11/16/11,189464100,-1.7,139.1,21.6636,29.3562,42553300,11/1/11,10/1/11,51232.00,99.32940708,0.75,8.7267857,-0.084356133,13 - 15,Priced Within Range,0,13,15,0
CLXT,Calyxt Inc,8.9,-112.3,-56.3,64.4,27.65,8,40.625,221.2,7/20/17,13173L107,-0.5,64.4,27.65,12.1354,5927080,7/1/17,7/1/17,55413.00,99.98293814,1.75,4.400611223,-0.068992264,10-Aug,Priced Within Range,0,21,141,1
CMBM,Cambium Networks Corp,20.6,11.1,4.9,69.6,25.6056,12,-19.16666603,307.267,6/26/19,N.A.,1.1,69.6,25.6056,93.1325,25178700,6/1/19,4/1/19,57418.00,99.43025865,3,3.689126149,0.019914718,13 - 15,Priced Below Range,4,23,34,0
CME,CME Group Inc,-3.9,56.2,1.4,191.231,31.8177,35,22.5714283,1113.62,12/6/02,12572Q105,6.7,191.231,31.8177,110.573,397757000,12/1/02,10/1/02,46883.00,98.08210253,0.75,6.031730606,-0.220628792,31 - 34,Priced Above Range,3,26,128,1
CMG,Chipotle Mexican Grill Inc,26.1,8.6,12,199.333,7.87879,22,100,173.33,1/26/06,169656105,45.5,199.333,7.87879,100.784,27938400,1/1/06,1/1/06,51200.00,101.0885803,5.5,4.753347115,0.762195122,18 - 20,Priced Above Range,5,17,33,1
CMLFU,Sema4 Holdings Corp,18.3,-115.6,-60.9,442.75,44.275,10,2.5,442.75,9/2/20,18978W208,-1.7,442.75,44.275,6.64528,2942200,9/1/20,7/1/20,56484.00,98.66695103,0.25,8.083785823,0.139274694,10-Oct,Priced Within Range,0,0,0,1
CMRX,Chimerix Inc,-63.1,-8753.7,-106.1,117.852,25.5081,14,34.2142868,357.113,4/11/13,16934W106,-1.1,117.852,25.5081,75.0942,66116800,4/1/13,4/1/13,51982.00,100.384401,0.75,7.675765434,-0.103963948,13 - 15,Priced Within Range,0,13,15,1
CNACU,DermTech Inc,101.1,-661.7,-49.3,143.75,18.005,10,0.100000002,180.05,6/20/17,N.A.,-2.1,143.75,18.005,102.513,5476790,6/1/17,4/1/17,55057.00,99.9382068,1.75,4.359433085,0.090711101,10-Oct,Priced Within Range,0,22,112,1
CNC,Centene Corp,13.3,1,2.5,56.35,0,14,22.8571434,0,12/13/01,15135B101,7.2,56.35,0,102.177,578585000,12/1/01,10/1/01,46400.00,98.68610603,1.33,5.760192645,-0.394588501,13 - 15,Priced Within Range,0,0,142,1
CNCE,Concert Pharmaceuticals Inc,312.2,-245.7,-84.3,93.0958,17.8678,14,1.285714269,250.15,2/13/14,206022105,-1.6,93.0958,17.8678,74.3908,35661600,2/1/14,1/1/14,52266.00,100.6382872,0.75,6.7788573,0.369790865,14 - 14,Priced Within Range,0,13,15,1
CNK,Cinemark Holdings Inc,120,-27.9,-3.3,537.075,106.45,19,-0.473684222,2022.55,4/24/07,17243V102,1.4,537.075,106.45,109.342,131822000,4/1/07,4/1/07,51705.00,101.8191092,6.25,4.572674984,0.649616269,17 - 19,Priced Within Range,5,16,27,0
CNS,Cohen & Steers Inc,36.1,36,41.6,112.125,34.2,13,0,444.6,8/13/04,19247A100,5,112.125,34.2,50.2045,24452800,8/1/04,7/1/04,49243.00,100.6961111,2.5,5.45422641,0.05279831,13 - 15,Priced Within Range,3,26,39,0
CNSL,Consolidated Communications Ho,-1.6,-8.3,4.7,234.227,29.6875,13,6.076922894,385.94,7/22/05,209034107,3.6,234.227,29.6875,83.7644,96660500,7/1/05,7/1/05,50470.00,100.3384397,4.25,5.02888944,0.462724936,15 - 15,Priced Below Range,4,23,143,1
CNXM,CNX Midstream Partners LP,19.1,57,14.3,442.75,31.7881,22,38.18181992,641.588,9/25/14,12654A101,3.4,442.75,31.7881,2.5811,2317810,9/1/14,7/1/14,53340.00,100.8454243,0.75,6.060002734,0.075256882,19 - 21,Priced Above Range,2,2,2,1
CODI,Compass Diversified Holdings,35.4,6.2,5.4,202.5,20,15,0.200000003,300,5/11/06,20451Q104,2,202.5,20,65.5107,47300500,5/1/06,4/1/06,51210.00,101.1215791,6,4.71660949,0.496277916,14 - 16,Priced Within Range,3,24,37,1
COHN,Cohen & Co Inc,12.5,7.7,-0.1,130,10.475,13,-1.923076868,136.17,3/17/04,19249M102,15.4,130,10.475,8.54734,146753,3/1/04,1/1/04,48633.00,101.0054486,2,5.860438928,0.644468314,14 - 16,Priced Below Range,3,26,76,0
COLD,Americold Realty Trust Inc,36.5,-1.1,-0.3,833.52,142.388,16,11.0625,2208.61,1/19/18,03064D108,1,833.52,142.388,113.612,306071000,1/1/18,1/1/18,56195.00,100.4818485,2,4.134060502,0.544774545,14 - 16,Priced Within Range,3,3,13,1
COMM,CommScope Holding Co Inc,1.7,-5.3,-2,625.248,185.654,15,-0.06666667,2784.81,10/25/13,20337X109,0.6,625.248,185.654,101.838,212179000,10/1/13,10/1/13,52544.00,100.65078,0.75,7.416395048,-0.257528326,18 - 21,Priced Below Range,4,23,34,0
CONE,Cyrusone Holdco LLC,16.6,2.1,0.3,360.525,21.8882,19,11.57894707,415.88,1/18/13,23283R100,3.8,360.525,21.8882,34.6753,44926500,1/1/13,1/1/13,51998.00,100.0401909,0.75,8.002806341,0.295730419,16 - 18,Priced Above Range,3,3,50,1
CONN,Conn's Inc,14.7,6.8,1.9,66.815,22.412,14,7.428571224,313.77,11/25/03,208242107,6,66.815,22.412,80.8523,19326000,11/1/03,10/1/03,48450.00,100.3145817,2,5.962766689,-0.27027027,14-Dec,Priced Within Range,5,17,144,1
COR,CoreSite Realty Corp,5.9,13,4,310.96,19.644,16,0.0625,314.3,9/23/10,21870Q105,6.7,310.96,19.644,30.8188,13620500,9/1/10,7/1/10,50706.00,99.64484999,0.75,9.69169447,0.058173623,15 - 17,Priced Within Range,3,3,50,1
CORI,Corium Inc/DE,-3.5,-149.9,-54.5,52,17.6174,8,0,140.94,4/3/14,21887L107,-1.2,52,17.6174,0.248128,90611,4/1/14,4/1/14,52840.00,100.7244786,0.75,6.336592395,0.329675445,12-Oct,Priced Below Range,0,13,15,0
CORR,CorEnergy Infrastructure Trust,209.1,-9,0.7,86.1,8.8286,15,0,132.43,2/2/07,21870U502,1.1,86.1,8.8286,19.1705,2909490,2/1/07,1/1/07,51492.00,101.6073514,6.25,4.611606375,0.535036756,15 - 16,Priced Within Range,3,3,50,0
CORT,Corcept Therapeutics Inc,3.4,30.7,21.1,54,22.6421,12,1.916666627,271.71,4/14/04,218352102,1.4,54,22.6421,85.9784,92555600,4/1/04,4/1/04,48905.00,101.0072146,2,5.662633096,0.320170758,12-Dec,Priced Within Range,0,13,15,1
COTV,Cotiviti Holdings Inc,8.5,20.3,7.6,245.78,90.167,19,-9.947368622,1704.89,5/26/16,22164K101,1.9,245.78,90.167,0.262074,246449,5/1/16,4/1/16,54334.00,99.17131936,1,4.882282302,0.4045791,17 - 19,Priced Within Range,1,5,22,0
COTY,Coty Inc,14.5,4.8,1.2,1140,72.219,17.5,-0.800000012,1263.83,6/13/13,222070203,0.8,1140,72.219,39.0718,332155000,6/1/13,4/1/13,51982.00,100.5692261,0.75,7.657716977,0.239970809,16.50 - 18.50,Priced Within Range,0,53,145,0
COUP,Coupa Software Inc,33.9,-52.2,-10.9,153.18,49.221,18,84.8888855,885.978,10/6/16,22266L106,2.2,153.18,49.221,118.346,89860600,10/1/16,10/1/16,54714.00,99.43029734,1,4.98714224,0.124674851,16 - 18,Priced Within Range,1,5,81,1
COWN,Cowen Inc,19,13.9,1.3,184.278,15,16,-0.75,240,7/13/06,223622606,11,184.278,15,94.6979,26529000,7/1/06,7/1/06,51155.00,101.0396636,6.25,4.811447274,0.295712173,19 - 21,Priced Below Range,3,26,76,0
CPIX,Cumberland Pharmaceuticals Inc,-3.8,-9.7,-7.8,85,18.1289,17,-1,308.19,8/11/09,230770109,0.4,85,18.1289,18.1017,2618260,8/1/09,7/1/09,49473.00,97.28828582,0.5,9.719974615,0.224285004,19 - 21,Priced Below Range,0,13,15,0
CPLA,Capella Education Co,2.5,5.3,9.4,92,15.3658,20,25.54999924,307.32,11/9/06,139594105,5.4,92,15.3658,0.480837,56402.4,11/1/06,10/1/06,51455.00,101.2916395,6.25,4.568466443,-0.148662042,17.50 - 19.50,Priced Above Range,0,7,79,1
CPRX,Catalyst Pharmaceuticals Inc,18.2,28,22.8,20.1,12.5167,6,1.666666627,75.1,11/8/06,14888U101,0.5,20.1,12.5167,104.487,108741000,11/1/06,10/1/06,51455.00,101.2916395,6.25,4.568466443,-0.148662042,6-Jun,Priced Within Range,0,13,15,1
CPSI,Computer Programs and Systems,6.1,6.5,4.5,56.925,10.488,16.5,9.818181992,173.052,5/17/02,205306103,3.3,56.925,10.488,97.3585,14130700,5/1/02,4/1/02,46866.00,99.45832738,1.25,5.85679877,0,16 - 18,Priced Within Range,1,5,22,1
CQP,Cheniere Energy Partners LP,52.9,17.2,2.4,326.025,26.4164,21,3.380952358,554.74,3/20/07,16411Q101,4.7,326.025,26.4164,46.6785,225939000,3/1/07,1/1/07,51492.00,101.7155915,6.25,4.449643744,0.910569585,19 - 21,Priced Within Range,2,2,2,1
CRCM,Care.com Inc,10.4,27.5,-8.3,104.592,29.7462,17,42.94117737,505.69,1/24/14,141633107,1,104.592,29.7462,40.0532,13325100,1/1/14,1/1/14,52266.00,100.6279112,0.75,6.630940345,0.372024767,14 - 16,Priced Above Range,0,7,45,1
CREX,Creative Realities Inc,5.6,1.2,3.7,20.7,7.9857,4,16.75,31.94,11/27/06,22530J200,0.0400476,20.7,7.9857,9.50436,2071870,11/1/06,10/1/06,51455.00,101.2916395,6.25,4.568466443,-0.148662042,5-Apr,Priced Within Range,5,44,146,1
CRI,Carter's Inc,15.2,9.7,9,136.562,27.2822,19,29.7368412,518.36,10/24/03,146229109,6.2,136.562,27.2822,124.602,47550200,10/1/03,10/1/03,48450.00,99.97283644,2,6.061424767,-0.107991361,17 - 19,Priced Within Range,5,25,38,1
CRL,Charles River Laboratories Int,21,11,6,224,32.3204,16,37.5,517.126,6/23/00,159864107,15.1,224,32.3204,105.504,53679100,6/1/00,4/1/00,46704.00,100.6856604,6,4.016709703,0.524781341,15 - 17,Priced Within Range,0,0,0,1
CRM,Salesforce Inc,24.6,5.4,0.5,126.5,101.257,11,56.36363602,1113.83,6/23/04,79466L302,6.2,126.5,101.257,88.837,888370000,6/1/04,4/1/04,48905.00,100.8993806,2.25,5.646463306,0.317292438,10-Sep,Priced Above Range,1,5,81,1
CRNX,Crinetics Pharmaceuticals Inc,1418.3,-9985.2,-42.4,117.3,23.908,17,44.17647171,406.436,7/18/18,22663K107,-2.3,117.3,23.908,104.865,56428200,7/1/18,7/1/18,56831.00,100.5899154,2.5,3.862981324,0.006746326,15 - 17,Priced Within Range,0,21,29,1
CROX,Crocs Inc,66.9,31.3,17.7,239.085,38.2722,21,35.95238113,803.72,2/8/06,227046109,9,239.085,38.2722,90.6722,55985500,2/1/06,1/1/06,51200.00,101.1704712,5.5,4.870275357,0.201714574,19 - 20,Priced Above Range,5,25,147,1
CRSR,Corsair Gaming Inc,11.8,5.3,-3.6,257.302,91.8494,17,-16.1764698,1561.44,9/23/20,22041X102,0.2,257.302,91.8494,76.8863,77297000,9/1/20,7/1/20,56484.00,98.66695103,0.25,8.083785823,0.139274694,16 - 18,Priced Within Range,1,1,41,0
CRWD,Crowdstrike Holdings Inc,66,-16.1,-4.7,703.8,20.7,34,70.58823395,703.8,6/12/19,22788C105,2.5,703.8,20.7,76.1075,163504000,6/1/19,4/1/19,57418.00,99.43025865,3,3.689126149,0.019914718,28 - 30,Priced Above Range,1,1,127,1
CSBK,Clifton Bancorp Inc,13.9,15.4,0.3,137.387,0,10,22.5,0,3/4/04,186873105,0.5,137.387,0,0.3217,71095,3/1/04,1/1/04,48633.00,101.0054486,2,5.860438928,0.644468314,10-Oct,Priced Within Range,3,20,28,1
CSII,Cardiovascular Systems Inc,-8.7,-15.6,-12,50.06,26.9325,10,1,269.32,6/28/06,141619106,-0.6,50.06,26.9325,93.9408,39344500,6/1/06,4/1/06,51210.00,101.0698362,6.25,4.703669147,0.197530864,14 - 16,Priced Below Range,0,22,61,1
CSLT,Castlight Health Inc,2.3,-42.3,-5.1,204.24,12.765,16,148.75,204.24,3/14/14,14862Q100,-0.036738,204.24,12.765,39.4752,53394200,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,13 - 15,Priced Above Range,1,5,22,1
CSOD,Cornerstone OnDemand Inc,28.5,-5.4,-1.3,156.975,46.4094,13,46.69230652,603.32,3/17/11,21925Y103,1.5,156.975,46.4094,17.0261,11383300,3/1/11,1/1/11,50646.00,100.2953872,0.75,9.100787095,0.975107203,11-Sep,Priced Above Range,1,5,82,1
CSPR,Casper Sleep Inc,13.1,-18,-42,100.2,39.6729,12,12.5,476.075,2/6/20,147626105,-1.2,100.2,39.6729,14.2138,5916170,2/1/20,1/1/20,57279.00,99.15001442,2.25,3.567732608,0.274061813,13-Dec,Priced Within Range,5,44,148,1
CSTL,Castle Biosciences Inc,50.1,-33.2,-11.8,73.6,16.649,16,33.75,266.384,7/25/19,14843C105,-0.7,73.6,16.649,94.9174,25012200,7/1/19,7/1/19,57845.00,99.35534623,3,3.786645109,0.167094162,14 - 16,Priced Within Range,0,22,61,1
CSTR,Capstar Financial Holdings Inc,4.4,36.3,1.3,44.592,11.1837,15,6,167.756,9/22/16,14070T102,5.2,44.592,11.1837,48.6383,10659000,9/1/16,7/1/16,54549.00,99.32291136,1,5.067702195,0.240399586,14.50 - 16.50,Priced Within Range,3,9,91,1
CTACU,Grid Dynamics Holdings Inc,89.8,-3.6,-7.5,220,22.6,10,0.400000006,226,10/5/18,16166A202,0.3,220,22.6,26.1229,7350990,10/1/18,10/1/18,56851.00,100.2681725,2.75,3.822420119,0.176676346,10-Oct,Priced Within Range,1,1,31,1
CTLM,Centillium Communications Inc,-39.3,-44.9,-7.7,76,30.4691,19,20.39473724,578.91,5/24/00,152319109,-0.4,76,30.4691,0.0258848,10800,5/1/00,4/1/00,46704.00,100.8342401,5.71,4.068883425,0.116754232,18 - 20,Priced Within Range,8,31,49,1
CTLT,Catalent Inc,20.7,10.7,4.1,1001.94,123.696,20.5,-2.48780489,2535.77,7/31/14,148806102,2.4,1001.94,123.696,118.466,213195000,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,19 - 22,Priced Within Range,0,0,0,0
CTMX,CytomX Therapeutics Inc,-30.6,-120.1,-32.6,92.004,35.925,12,7.5,431.1,10/8/15,23284F105,-1.8,92.004,35.925,79.0405,52233400,10/1/15,10/1/15,54045.00,99.52145458,0.75,5.19705592,-0.044968375,14 - 16,Priced Below Range,0,21,29,1
CTRL,Control4 Corp,11.5,16,17.7,73.6,22.6943,16,25.3125,363.11,8/2/13,21240D107,1.3,73.6,22.6943,1.00911,270435,8/1/13,7/1/13,52284.00,100.641767,0.75,7.391202966,0.120293156,15 - 17,Priced Within Range,8,31,149,1
CTRN,Citi Trends Inc,26.5,6.2,9.3,61.985,11.995,14,12.14285755,167.93,5/18/05,17306X102,8.3,61.985,11.995,117.754,9867070,5/1/05,4/1/05,50204.00,100.2702497,4,5.200249935,-0.102774923,14-Dec,Priced Within Range,5,17,113,1
CTT,CatchMark Timber Trust Inc,-2,57,10,163.42,15.5244,13.5,0,209.58,12/12/13,14912Y202,0.9,163.42,15.5244,41.6673,20531600,12/1/13,10/1/13,52544.00,100.6417272,0.75,6.837206606,-0.00858115,13.50 - 15,Priced Within Range,3,3,50,0
CUBE,CubeSmart,21.1,27.1,4.5,460,37.3452,16,4.5625,597.52,10/22/04,229663109,2.2,460,37.3452,105.154,236150000,10/1/04,10/1/04,49623.00,100.5370284,2.75,5.523151518,0.526592944,17 - 19,Priced Below Range,3,3,150,1
CUDA,Barracuda Networks Inc,10.1,2.9,3.1,85.698,50.6433,18,19.72222137,911.58,11/6/13,68323104,1.2,85.698,50.6433,0.21749,116732,11/1/13,10/1/13,52544.00,100.6507643,0.75,7.112790148,-0.204242419,18 - 21,Priced Within Range,4,8,151,1
CUE,Cue Biopharma Inc,373.6,-295.5,-56,66.1553,19.3073,7.5,55.06666565,144.805,1/2/18,22978P106,-1.2,66.1553,19.3073,49.322,17452900,1/1/18,1/1/18,56195.00,100.4818485,2,4.134060502,0.544774545,7.50 - 7.50,Priced Within Range,0,21,29,1
CURO,Curo Group Holdings Corp,2.4,10.3,-1.2,107.334,45.5614,14,1.428571463,637.86,12/7/17,23131L107,7.8,107.334,45.5614,36.7822,14891400,12/1/17,10/1/17,55877.00,100.3962325,2,4.150219646,-0.058783228,14 - 16,Priced Within Range,3,26,152,1
CUTR,Cutera Inc,56.6,0.8,-22.5,56.8652,10.0881,14,0,141.23,3/31/04,232109108,0.0690291,56.8652,10.0881,137.645,26999800,3/1/04,1/1/04,48633.00,101.0054486,2,5.860438928,0.644468314,14 - 16,Priced Within Range,0,22,153,0
CVGI,Commercial Vehicle Group Inc,35.3,2.4,2.4,133.699,16.9888,13,0.769230783,220.85,8/5/04,202608105,-0.9,133.699,16.9888,58.3372,19469500,8/1/04,7/1/04,49243.00,100.6961111,2.5,5.45422641,0.05279831,15 - 17,Priced Below Range,5,38,154,1
CVI,CVR Energy Inc,84.2,0.3,8.3,437,86.1413,19,6.578947544,1636.68,10/23/07,12662P108,3.9,437,86.1413,96.8548,97368700,10/1/07,10/1/07,52066.00,101.6347884,5,4.768472729,0.213919133,18 - 20,Priced Within Range,2,28,68,1
CVLT,CommVault Systems Inc,6.3,4.3,3.3,185.278,41.651,14.5,17.24137878,603.94,9/21/06,204166102,3.9,185.278,41.651,100.353,44689100,9/1/06,7/1/06,51155.00,101.105954,6.25,4.602876755,-0.490436488,12.50 - 14.50,Priced Within Range,1,5,72,1
CVNA,Carvana Co,129.3,-1,-11.6,225,15,15,-26,225,4/28/17,146869102,-31.3,225,15,117.797,124803000,4/1/17,4/1/17,55057.00,99.87725138,1.5,4.433586626,0.296553337,14 - 16,Priced Within Range,5,17,51,0
CVRR,CVR Refining LP,27.8,1.5,16.3,690,151.2,25,0.200000003,3780,1/17/13,12663P107,1.2,690,151.2,0.0237256,35019,1/1/13,1/1/13,51998.00,100.0401909,0.75,8.002806341,0.295730419,24 - 26,Priced Within Range,2,28,68,1
CWEN/A,Clearway Energy Inc,7.2,3.9,4.6,495.249,22.5113,22,23.86363602,495.25,7/17/13,18539C105,5.9,495.249,22.5113,86.7068,30000200,7/1/13,7/1/13,52284.00,100.6172944,0.75,7.464771304,0.039399753,19 - 21,Priced Above Range,7,39,155,1
CWH,Camping World Holdings Inc,26.9,4,4.7,261.188,18.936,22,2.272727251,405.403,10/7/16,13462K109,3.4,261.188,18.936,79.4998,33495000,10/1/16,10/1/16,54714.00,99.43029734,1,4.98714224,0.124674851,21 - 23,Priced Within Range,5,12,156,1
CWK,Cushman & Wakefield PLC,19.7,2.6,4.1,879.75,215.172,17,4.764705658,3657.92,8/2/18,N.A.,2.4,879.75,215.172,99.236,224032000,8/1/18,7/1/18,56831.00,100.5227439,2.5,3.835982303,0.055554233,16 - 18,Priced Within Range,3,34,130,1
CXO,Concho Resources Inc,14.2,-15.6,-52.9,276.232,73.633,11.5,12.173913,846.78,8/2/07,20605P101,14.2,276.232,73.633,51.7548,101592000,8/1/07,7/1/07,51882.00,101.8469871,5.75,4.675485691,-0.183390223,14 - 16,Priced Below Range,2,28,43,1
CYH,Community Health Systems Inc,4.9,1.8,-1.2,243.75,74.3978,13,5.288461685,967.17,6/9/00,203668108,-1,243.75,74.3978,84.5583,113911000,6/1/00,4/1/00,46704.00,100.6856604,6,4.016709703,0.524781341,13 - 15,Priced Within Range,0,0,56,1
CYS,CYS Investments Inc,104.8,52,0.3,115.115,18.2335,11,5,200.57,6/12/09,12673A108,1.6,115.115,18.2335,0.363562,565120,6/1/09,4/1/09,49408.00,96.31575597,0.5,9.523413945,0.858989226,13-Nov,Priced Within Range,3,3,6,1
CYTH,Cyclo Therapeutics Inc,75.5,-900.9,-98.7,14.375,4.5748,5,-16,22.874,12/9/20,23254X201,-2.3,14.375,4.5748,5.28598,448348,12/1/20,10/1/20,57005.00,99.71018332,0.25,6.897872332,0.094147847,5-May,Priced Within Range,0,21,29,0
CYTK,Cytokinetics Inc,26.1,-305.7,-29.6,103.155,26.8453,13,23.84615326,348.99,4/29/04,23282W605,-1.8,103.155,26.8453,113.007,106940000,4/1/04,4/1/04,48905.00,101.0072146,2,5.662633096,0.320170758,13-Nov,Priced Within Range,0,21,29,1
DASH,DoorDash Inc,69.3,-9.5,-11,3366,286.343,102,85.79412079,29207,12/9/20,25809K105,2,3366,286.343,95.2562,342997000,12/1/20,10/1/20,57005.00,99.71018332,0.25,6.897872332,0.094147847,90 - 95,Priced Above Range,4,8,9,1
DATA,Tableau Software Inc,31.7,-6.6,-8.4,292.33,9.43,31,63.70967865,292.33,5/17/13,87336U105,1.8,292.33,9.43,11.6099,8950570,5/1/13,4/1/13,51982.00,100.4875479,0.75,7.705884828,0.178040777,28 - 30,Priced Above Range,1,5,5,1
DBI,Designer Brands Inc,43,4.8,8.2,307.266,14.1625,19,26.84210587,269.09,6/29/05,250565108,2.3,307.266,14.1625,105.97,59873800,6/1/05,4/1/05,50204.00,100.2962748,4.25,5.089785897,0.051440329,15 - 17,Priced Above Range,5,17,23,1
DBX,Dropbox Inc,12.7,15.5,11.5,869.4,58.4804,21,35.61904907,1228.09,3/23/18,26210C104,1.8,869.4,58.4804,86.4971,242548000,3/1/18,1/1/18,56195.00,100.6306862,2.25,4.075548902,0.22611259,18 - 20,Priced Above Range,1,5,82,1
DCP,DCP Midstream LP,73.4,3.6,8,222.525,10.3571,21.5,7.209302425,222.68,12/2/05,23311P100,3.1,222.525,10.3571,38.182,79570000,12/1/05,10/1/05,50629.00,100.9613816,5.25,4.939350659,-0.4048583,19 - 21,Priced Above Range,2,2,2,1
DCPH,Deciphera Pharmaceuticals Inc,128.4,-311.9,-46.1,138.831,32.5917,17,3.823529482,554.059,9/28/17,24344T101,-4.1,138.831,32.5917,105.718,71439900,9/1/17,7/1/17,55413.00,100.1379705,1.75,4.316244463,0.529490589,15 - 17,Priced Within Range,0,21,29,1
DCT,Duck Creek Technologies Inc,16.3,-2.7,-0.9,465.75,130.688,27,48.14814758,3528.58,8/14/20,264120106,0.0811391,465.75,130.688,69.7503,92586600,8/1/20,7/1/20,56484.00,98.41453353,0.25,8.302616451,0.315321052,23 - 25,Priced Above Range,1,5,5,1
DDOG,Datadog Inc,70.4,-2,-0.5,745.2,27.6,27,39.07407379,745.2,9/19/19,23804L103,0.9,745.2,27.6,90.0245,262916000,9/1/19,7/1/19,57845.00,99.2709694,2.5,3.572134909,0.078344858,24 - 26,Priced Above Range,1,5,82,1
DEA,Easterly Government Properties,12.1,10.9,0.8,207,24.1684,15,3.333333254,362.526,2/6/15,27616P103,1.4,207,24.1684,97.6762,88703700,2/1/15,1/1/15,53806.00,100.5176164,0.75,5.549639901,0.434304492,14 - 16,Priced Within Range,3,3,157,1
