,Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M),Shares Outstanding (M),Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup
532,ALIM US,Alimera Sciences Inc,16.1,-7.4,-31.6,72.05,31.0511,11,0,341.56,4/22/2010,16259202,-0.4,72.05,31.0511,34.7969,2438740,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
533,ALJ US,Alon USA Energy Inc,-9.7,-2.1,-1.8,187.68,45.2011,16,7.8125,723.22,7/28/2005,20520102,0.8,187.68,45.2011,0.0560544,40296,14 - 16,Priced Within Range,Energy,Oil&Gas,Oil Refining&Marketing
534,ALLI US,Soleo Health Holdings Inc,,,4.4,59.8,11.895,13,26.92307663,154.63,6/22/2005,19615103,,59.8,11.895,,,14-Dec,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Drug Store
535,ALLK US,Allakos Inc,,,-71.4,147.659,41.5392,18,73.6111145,747.706,7/19/2018,01671P100,-3.8,147.659,41.5392,100.024,85224100,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
536,ALLO US,Allogene Therapeutics Inc,,-667.7,-31.7,372.6,117.927,18,38.88888931,2122.69,10/11/2018,19770106,-1.3,372.6,117.927,76.5991,110464000,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
537,ALNAQ US,Allena Pharmaceuticals Inc,,,-180,74.6662,20.6218,14,-28.7142849,288.705,11/2/2017,18119107,-0.6,74.6662,20.6218,2.25756,2756100,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
538,ALNY US,Alnylam Pharmaceuticals Inc,71.3,-101,-33.7,34.5,19.2833,6,0.166666672,115.7,5/27/2004,02043Q107,-5.4,34.5,19.2833,115.012,141497000,8-Jun,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
539,ALPN US,Alpine Immune Sciences Inc,151.1,-214.7,-28.9,88.55,15.4517,14,6.571428776,216.324,6/17/2015,02083G100,-0.6,88.55,15.4517,104.342,47908200,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
540,ALRM US,Alarm.com Holdings Inc,21.1,6.9,3.5,112.7,45.3714,14,20.5714283,635.2,6/26/2015,11642105,2,112.7,45.3714,99.0231,49423200,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Protection-Safety
541,ALRN US,Aileron Therapeutics Inc,,,-72.1,56.25,14.7102,15,-28,220.653,6/29/2017,00887A204,-5.3,56.25,14.7102,33.032,1500040,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
542,ALRS US,Alerus Financial Corp,-2.2,22.4,1.2,60.06,16.6761,21,4.761904716,350.198,9/13/2019,01446U103,8.6,60.06,16.6761,45.823,9158760,22 - 24,Priced Below Range,Financial,Banks,Commer Banks-Central US
543,ALSM US,AlphaSmart Inc,,,5.1,26.4,14.6373,6,3.166666746,87.82,2/6/2004,02081F104,,26.4,14.6373,,,10-Aug,Priced Below Range,Technology,Software,Educational Software
544,ALSN US,Allison Transmission Holdings,15.4,18.4,11.1,690.345,181.376,23,1.739130378,4171.65,3/15/2012,01973R101,5.9,690.345,181.376,114.241,105662000,22 - 24,Priced Within Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig
545,ALTA US,Altabancorp,-0.7,34.4,1.3,41.6875,17.4459,14.5,15.17241383,247.528,6/11/2015,21347109,2.7,41.6875,17.4459,3.2301,610084,13 - 15,Priced Within Range,Financial,Banks,Commer Banks-Western US
546,ALTH US,Allos Therapeutics Inc,,,-30.6,90,22.8,18,-27.77777863,410.4,3/28/2000,19777101,,90,22.8,,,17 - 19,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
547,ALTR US,Altair Engineering Inc,13.2,-1.6,-5.3,179.4,23.1875,13,40.84615326,301.438,11/1/2017,21369103,0.8,179.4,23.1875,104.015,54501400,13-Nov,Priced Within Range,Technology,Software,Computer Aided Design
548,ALTUQ US,Altus Pharmaceuticals Inc,-92.4,-4471.1,-110.4,120.75,22.0519,15,12.13333321,330.78,1/26/2006,02216N105,-2.6,120.75,22.0519,0.804907,250576,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics
549,ALTUU US,Altitude Acquisition Corp,,1715.7,5,300,30,10,2.099999905,300,12/9/2020,02156Y202,-0.019234,300,30,1.302,65817,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
550,ALVR US,Allovir Inc,,,-61.7,317.688,63.6069,17,49.35293961,1081.32,7/30/2020,19818103,-1.6,317.688,63.6069,52.9381,49318700,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
551,ALXA US,Alexza Pharmaceuticals Inc,-9.6,-424,-90.2,50.6,23.4714,8,6.375,187.77,3/8/2006,15384209,-1.6,50.6,23.4714,,,12-Oct,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics
552,ALXO US,ALX Oncology Holdings Inc,,,-33.7,185.725,35.9866,19,57.89473724,683.745,7/17/2020,00166B105,-1.6,185.725,35.9866,105.661,43062600,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
553,AM US,Antero Midstream Corp,-0.2,36.9,5.8,875.375,186.17,23.5,-6.382978916,4375,5/4/2017,03676B102,1.4,875.375,186.17,86.0391,411684000,22 - 25,Priced Within Range,Energy,Pipelines,Pipelines
554,AMBA US,Ambarella Inc,48.8,-7.9,-6.6,41.4,25.9095,6,1,155.457,10/10/2012,N.A.,1,41.4,25.9095,97.7385,37548000,11-Sep,Priced Below Range,Technology,Semiconductors,Electronic Compo-Semicon
555,AMBI US,Ambit Biosciences Corp,53.6,-41.3,-35.5,65,17.7126,8,-7.625,141.7,5/16/2013,02318X100,-2.4,65,17.7126,,,8-Aug,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
556,AMBR US,Amber Road Inc,7.7,-15.9,-10.5,110.504,24.7889,13,30.76922989,322.26,3/21/2014,02318Y108,0.1,110.504,24.7889,0.44504,126563,10.50 - 12.50,Priced Above Range,Technology,Software,Data Processing/Mgmt
557,AMC US,AMC Entertainment Holdings Inc,103.4,-50.2,-8.1,378.949,21.5533,18,5,387.96,12/18/2013,00165C104,-1.2,378.949,21.5533,32.6353,173527000,18 - 20,Priced Within Range,"Consumer, Cyclical",Entertainment,Theaters
558,AMCP US,AmCOMP Inc,-12.2,7.5,2.3,96.966,15.5584,9,0,140.03,2/10/2006,02342J101,1.3,96.966,15.5584,,,11-Sep,Priced Within Range,Financial,Insurance,Property/Casualty Ins
559,AMEV US,Applied Molecular Evolution In,,,-24,88.35,21.202,19,62.5,402.838,7/27/2000,3.82E+111,,88.35,21.202,,,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
560,AMGIU US,American Mold Guard Inc,-29.2,-85.7,-134.6,18.85,4.3639,13,4.538461685,56.73,4/27/2006,02756R201,-1,18.85,4.3639,,,13 - 14,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Services
561,AMH US,American Homes 4 Rent,10.2,14.5,2,811.763,184.857,16,-2.5,2957.71,8/1/2013,02665T306,1.8,811.763,184.857,100.872,355886000,16 - 18,Priced Within Range,Financial,REITS,REITS-Apartments
562,AMHCU US,Jasper Therapeutics Inc,,,-31.4,100,10,10,0,100,11/20/2019,03212A204,-2.9,100,10,0.06577,6577,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
563,AMIS US,AMIS Holdings Inc,1.6,4.7,3.6,600,71.8649,20,0.5,1437.3,9/24/2003,31538101,0.9,600,71.8649,,,18 - 20,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon
564,AMK US,AssetMark Financial Holdings I,22.2,4.8,6.3,316.25,72.4,22,22.90909004,1592.8,7/18/2019,04546L106,1.7,316.25,72.4,97.5576,72043400,19 - 21,Priced Above Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv
565,AMMD US,Astora Women's Health Holdings,4.4,16,8.2,68.75,27.189,11,5.113636494,299.079,8/11/2000,02744M108,1.5,68.75,27.189,,,13-Nov,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products
566,AMN US,AMN Healthcare Services Inc,66.4,8.2,16.7,195.5,40.7146,17,27.41176414,692.15,11/13/2001,1744101,6.4,195.5,40.7146,112.655,48820200,14 - 16,Priced Above Range,"Consumer, Non-cyclical",Commercial Services,Human Resources
567,AMPH US,Amphastar Pharmaceuticals Inc,25.1,14.1,11.2,64.4,44.6059,7,25,312.24,6/25/2014,03209R103,2,64.4,44.6059,65.3957,31606500,12-Oct,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
568,AMRC US,Ameresco Inc,17.7,5.8,4.2,90.3971,40.7462,10,1.700000048,407.46,7/22/2010,2.36E+111,-3.3,90.3971,40.7462,97.77,33157900,14 - 16,Priced Below Range,Utilities,Electric,Electric-Integrated
569,AMRE US,AmREIT Inc,14.7,31.4,1.5,58.1448,4.4657,14,0.142857149,62.52,7/27/2012,03216B208,1.2,58.1448,4.4657,,,14 - 16,Priced Within Range,Financial,REITS,REITS-Shopping Centers
570,AMRS US,Amyris Inc,97.4,-79.2,-34.3,97.52,41.228,16,3.125,659.65,9/28/2010,03236M200,-0.6,97.52,41.228,67.5537,219677000,18 - 20,Priced Below Range,Basic Materials,Chemicals,Chemicals-Specialty
571,AMSF US,AMERISAFE Inc,-6.9,20.8,2.7,76.3717,17.4241,9,0,156.82,11/18/2005,03071H100,1.9,76.3717,17.4241,103.985,19919200,11-Sep,Priced Within Range,Financial,Insurance,Property/Casualty Ins
572,AMST US,Amesite Inc,3.3,-1299.8,-84.8,15,20.4231,5,4.400000095,102.115,9/25/2020,31094105,-0.2,15,20.4231,4.98185,1509520,4.50 - 5.50,Priced Within Range,Technology,Software,Educational Software
573,AMTB US,Amerant Bancorp Inc,10.3,34.6,1.3,84.877,26.344,13,-7.692307472,342.472,12/19/2018,23576101,1.8,84.877,26.344,40.0257,13518400,13 - 13,Priced Within Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr
574,AMTG US,Apollo Residential Mortgage In,-60.3,-19.5,-0.4,200,10.27,20,-6.75,205.4,7/22/2011,03763V102,1.5,200,10.27,,,20 - 20,Priced Within Range,Financial,REITS,REITS-Mortgage
575,AMTI US,Applied Molecular Transport In,,,-72.5,177.1,34.0506,14,28.4285717,453.608,6/5/2020,03824M109,-2.2,177.1,34.0506,77.4369,30156300,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
576,AMV/U US,B Riley Financial Inc,92.8,25.5,-0.7,414,41.4,10,1,414,8/2/2007,02149U200,1.8,414,41.4,,,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr
577,AMWL US,American Well Corp,3,-69.7,-18.9,853.301,198.164,18,28.16666603,3566.96,9/17/2020,03044L105,-0.5,853.301,198.164,54.7592,132771000,14 - 16,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Outptnt/Home Med
578,ANAB US,AnaptysBio Inc,-15.7,-91.4,-25.8,86.25,19.9093,15,13.33333302,298.639,1/26/2017,32724106,-1.6,86.25,19.9093,116.819,33213600,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
579,ANCB US,Anchor Bancorp Inc/WA,7.3,9.8,0.5,25.5,0,10,0,0,1/26/2011,32838104,3,25.5,0,10.8023,268333,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Western US
580,ANDAU US,Stryve Foods Inc,,-106.3,-126.6,108,13.675,10,0,136.75,1/29/2019,N.A.,-2.5,108,13.675,0.0619918,5590,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Confectionery
581,ANDS US,Anadys Pharmaceuticals Inc,,,-127.3,48.9576,21.4369,7,0.857142866,150.06,3/26/2004,03252Q408,-0.3,48.9576,21.4369,,,8-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
582,ANDX US,Andeavor Logistics LP,,30.6,6.9,313.95,17.2049,21,11.90476227,361.3,4/20/2011,03350F106,4.7,313.95,17.2049,0.201548,495064,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines
583,ANET US,Arista Networks Inc,27.2,28.5,20,259.612,64.3699,43,27.9069767,2767.91,6/6/2014,40413106,3.3,259.612,64.3699,70.4188,215181000,36 - 40,Priced Above Range,Communications,Telecommunications,Networking Products
584,ANGO US,AngioDynamics Inc,8.6,-8.4,-5.8,24.6675,11.15,11,13.63636398,122.65,5/27/2004,03475V101,-0.1,24.6675,11.15,98.0723,38353900,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments
585,ANNX US,Annexon Inc,,,-46.5,288.362,35.9712,17,4.470588207,611.51,7/24/2020,03589W102,-2.7,288.362,35.9712,105.062,50041300,15 - 16,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
586,ANRZQ US,Alpha Natural Resources Inc,59.4,12.7,-6.6,644.575,62.2126,19,19.42105293,1182.04,2/15/2005,02076X102,9.4,644.575,62.2126,0.162542,361675,16 - 18,Priced Above Range,Energy,Coal,Coal
587,ANSVQ US,Anesiva Inc,496,-33951.6,-163.2,110.4,26.1133,16,33.75,417.81,2/12/2004,03460L100,-1.8,110.4,26.1133,,,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
588,ANSW US,Answers.com Corp,,,20.2,13.5125,3.60127,5,1.799999952,18.01,10/13/2004,03662X100,,13.5125,3.60127,,,5.90 - 5.90,Priced Below Range,Communications,Internet,Internet Content-Info/Ne
589,ANT US,Anteon International Corp,17.7,5.2,12,310.5,33.6015,18,11.38888931,604.83,3/12/2002,3.67E+111,2.4,310.5,33.6015,,,17 - 18,Priced Within Range,Technology,Computers,Computer Services
590,ANTH US,Anthera Pharmaceuticals Inc,,,-144.3,46.2314,21.587,7,0.142857149,151.11,3/1/2010,03674U300,-3.5,46.2314,21.587,0.00117268,307,7-Jul,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
591,ANVS US,Annovis Bio Inc,,,-70.2,13.8,6.8182,6,59.83333206,40.9092,1/29/2020,03615A108,-1.2,13.8,6.8182,9.76792,797445,8-Jun,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
592,AOD US,Aberdeen Total Dynamic Dividen,,,,3715.91,0,20,2.5,0,1/26/2007,00326L100,,3715.91,0,59.9182,63172400,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
593,AOLAQ US,America Online Latin America I,-19.5,-145.3,-324.5,200,260.4,8,5.46875,2083.2,8/8/2000,02365B100,-0.1,200,260.4,,,10-Aug,Priced Within Range,Communications,Internet,Web Portals/ISP
594,AONE/U US,Markforged Holding Corp,,4.2,11.6,215,21.5,10,1,200,8/18/2020,N.A.,-0.4,215,21.5,0.855818,230001,10-Oct,Priced Within Range,Technology,Computers,Computers-Other
595,AONEQ US,B456 Systems Inc,63.5,-161.9,-66.3,428.316,98.1805,13.5,50.29629517,1325.44,9/24/2009,03739T108,-2,428.316,98.1805,,,10 - 11.50,Priced Above Range,Industrial,Electrical Compo&Equip,Batteries/Battery Sys
596,AOSL US,Alpha & Omega Semiconductor Lt,18.3,58.2,39.5,91.5477,22.0875,18,-1.666666627,397.57,4/29/2010,N.A.,8.1,91.5477,22.0875,83.3509,22844800,17 - 19,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon
597,APAM US,Artisan Partners Asset Managem,36.4,27.4,22.3,381.369,12.7123,30,29.43333244,381.37,3/7/2013,04316A108,6.6,381.369,12.7123,92.5844,62875000,27 - 29,Priced Above Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv
598,APEI US,American Public Education Inc,30.1,4.2,-14.3,107.812,17.7519,20,79.59999847,355.04,11/8/2007,02913V103,0.9,107.812,17.7519,111.478,21060400,18 - 19,Priced Above Range,"Consumer, Non-cyclical",Commercial Services,Schools
599,APFH US,AdvancePierre Foods Holdings I,-2.6,8.6,12.3,449.19,78.586,21,14.28571415,1650.31,7/15/2016,00782L107,2.7,449.19,78.586,0.00137208,1073,20 - 23,Priced Within Range,"Consumer, Cyclical",Food Service,Food-Catering
600,APIC US,Apigee Corp,34.1,-45.1,-32.2,86.955,29.0874,17,-1.764705896,494.486,4/24/2015,03765N108,-0.7,86.955,29.0874,,,16 - 18,Priced Within Range,Technology,Software,Computer Software
601,APKT US,Acme Packet Inc,-10.7,-1.9,-0.9,125.359,58.4287,9.5,67.47368622,555.07,10/13/2006,4764106,0.8,125.359,58.4287,,,9-Aug,Priced Above Range,Communications,Telecommunications,Networking Products
602,APL US,Targa Pipeline Partners LP,32.4,7.7,4.7,19.5,0,13,0,0,1/27/2000,49392103,3.5,19.5,0,,,13 - 15,Priced Within Range,Energy,Pipelines,Pipelines
603,APLP US,Archrock Partners LP,15.3,8.5,2.5,132.825,7.15,21,7.285714149,150.15,10/17/2006,03957U100,3.2,132.825,7.15,100,70231000,19 - 21,Priced Within Range,Energy,Oil&Gas Services,Oil-Field Services
604,APLS US,Apellis Pharmaceuticals Inc,-73.4,-1121.2,-90.6,172.495,50.864,14,0.214285716,712.096,11/9/2017,03753U106,-6.6,172.495,50.864,107.752,119147000,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
605,APLT US,Applied Therapeutics Inc,,,-97.2,40,17.0522,10,-6,170.522,5/14/2019,03828A101,-3.5,40,17.0522,67.6416,32507800,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
606,APP/U US,American Apparel LLC,-3.9,-11.3,-36,120,18.75,8,0,150,12/16/2005,23850209,,120,18.75,9.8507,1961350,8-Aug,Priced Within Range,"Consumer, Cyclical",Apparel,Apparel Manufacturers
607,APPF US,Appfolio Inc,15.9,0.2,-12.5,85.56,7.13,12,17.33333397,85.56,6/26/2015,03783C100,1,85.56,7.13,86.6012,17679400,14-Dec,Priced Within Range,Technology,Software,Applications Software
608,APPN US,Appian Corp,21.2,-24,-30,86.25,7.1875,12,25.08333397,704.255,5/25/2017,03782L101,-0.7,86.25,7.1875,81.8299,33591000,13-Nov,Priced Within Range,Technology,Software,Enterprise Software/Serv
609,APPX US,Fresenius Kabi USA Inc,11,5.3,2.2,165.6,48.0681,16,23.4375,769.09,12/14/2001,00202H108,0.0773789,165.6,48.0681,0.345165,555000,13 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
610,APRE US,Aprea Therapeutics Inc,,,-219.9,97.7505,20.7265,15,36.66666794,310.897,10/3/2019,03836J102,-1.7,97.7505,20.7265,8.00506,4242510,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
611,APRN US,Blue Apron Holdings Inc,2.1,-18.7,-61.1,300,30.0427,10,0,1890.58,6/29/2017,09523Q200,-2.2,300,30.0427,15.457,6117660,11-Oct,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Retail
612,APRS US,Apropos Technology Inc,,,-2.5,81.4,13.2451,22,109.0909119,291.392,2/16/2000,38334108,,81.4,13.2451,,,17 - 19,Priced Above Range,Communications,Internet,Internet Applic Sftwr
613,APSG/U US,Global Business Travel Group I,,,0.7,816.81,81.681,10,-0.300000012,816.81,10/2/2020,N.A.,,816.81,81.681,0.00296519,2422,10-Oct,Priced Within Range,"Consumer, Cyclical",Leisure Time,Travel Services
614,APTI US,Apptio Inc,17.4,-13.5,-7.9,110.4,6.9,16,40.9375,596.573,9/23/2016,03835C108,0.2,110.4,6.9,0.302104,137660,13 - 15,Priced Above Range,Technology,Software,Enterprise Software/Serv
615,APTS US,Preferred Apartment Communitie,-9.9,4.5,0.3,46.0736,5.1441,10,-1.5,51.44,4/1/2011,74039L103,3.5,46.0736,5.1441,12.2194,7874540,10-Oct,Priced Within Range,Financial,REITS,REITS-Diversified
616,APTX US,Aptinyx Inc,-36,-7488.6,-69.3,117.76,33.4962,16,26.25,535.939,6/21/2018,03836N103,-0.9,117.76,33.4962,51.1611,34644100,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
617,APXTU US,AvePoint Inc,26.6,-18.3,-14.2,350,35.81,10,1.5,358.1,9/17/2019,03768F201,0.0355236,350,35.81,0.0245462,8790,10-Oct,Priced Within Range,Technology,Software,Computer Software
618,AQ US,Aquantia Corp,16.8,-8,-19.5,70.5663,33.3438,9,5.666666508,300.094,11/3/2017,03842Q108,0.2,70.5663,33.3438,14.2008,5124410,12-Oct,Priced Below Range,Technology,Semiconductors,Semiconductor Equipment
619,AQMS US,Aqua Metals Inc,60.1,-10516.1,-44.7,36.2095,0,5,7,0,7/31/2015,03837J101,-0.1,36.2095,0,18.3638,14394800,5-May,Priced Within Range,Industrial,Environmental Control,Recycling
620,AQNT US,aQuantive Inc,,,6.4,126,55.673,24,200,1336.15,2/28/2000,03839G105,,126,55.673,,,18 - 20,Priced Above Range,Communications,Internet,E-Marketing/Info
621,AQST US,Aquestive Therapeutics Inc,10.8,-138.7,-121.2,73.8855,24.4257,15,7,366.385,7/25/2018,3.84E+107,-0.8,73.8855,24.4257,30.0102,16252300,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
622,AQUA US,Evoqua Water Technologies Corp,2.4,3.5,2.8,575.001,113.282,18,16,2039.08,11/2/2017,30057T105,1.5,575.001,113.282,111.045,135266000,17 - 19,Priced Within Range,Industrial,Environmental Control,Water Treatment Systems
623,AR US,Antero Resources Corp,27.3,-3.4,14.8,1802.41,265.624,44,18.20454597,11687.5,10/10/2013,03674X106,5.3,1802.41,265.624,89.9989,270119000,38 - 42,Priced Above Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn
624,ARA US,American Renal Associates Hold,2,-1.6,-0.7,189.75,30.8448,22,20.45454597,653.836,4/21/2016,29227105,1.2,189.75,30.8448,0.276124,95382.4,20 - 23,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Dialysis Centers
625,ARAV US,Aravive Inc,30.9,-526,-78.7,144.9,24.164,21,49.38095093,507.44,3/21/2014,03890D108,-1.6,144.9,24.164,14.8557,8887720,19 - 21,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
626,ARAY US,Accuray Inc,8.4,-1.2,-2,331.2,52.2124,18,58.16666794,939.82,2/8/2007,4397105,-0.02606,331.2,52.2124,66.3886,62258400,17 - 18,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products
627,ARBGU US,Aequi Acquisition Corp,,,2.7,230,23,10,-1.5,230,11/20/2020,00775W201,-0.1,230,23,3.39935,781850,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
628,ARBX US,ICS Group Holdings Inc,,,-27.7,131.525,23.9608,17.5,65.7142868,419.31,12/16/2004,03875P407,,131.525,23.9608,,,14 - 16,Priced Above Range,Communications,Telecommunications,Cellular Telecom
629,ARC US,ARC Document Solutions Inc,-5.9,3.3,3.6,195.459,43.9087,13,5.769230843,570.81,2/4/2005,00191G103,0.8,195.459,43.9087,52.1031,22417700,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Printing-Commercial
630,ARCC US,Ares Capital Corp,20.4,86.1,3.9,165,17.0168,15,0.13333334,255.25,10/5/2004,04010L103,-5.5,165,17.0168,34.4133,178075000,15 - 15,Priced Within Range,Financial,Investment Companies,Investment Companies
631,ARCL US,Archipelago Learning Inc,24.9,16.3,4.1,118.594,25.1067,16.5,13.75757599,414.26,11/20/2009,03956P102,1,118.594,25.1067,,,15 - 17,Priced Within Range,Communications,Internet,Internet Content-Info/Ne
632,ARCP US,VEREIT Inc,-6.1,17.3,1.7,69.75,5.853,12.5,,73.16,9/7/2011,02917T104,,69.75,5.853,3.15E-05,72.29,12.50 - 12.50,Priced Within Range,Financial,REITS,REITS-Office Property
633,ARCX US,Arc Logistics Partners LP,28.8,14.2,1.3,128.951,6.7869,19,0,128.95,11/6/2013,03879N101,2.8,128.951,6.7869,,,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines
634,ARDC US,Ares Dynamic Credit Allocation,,,,320,0,20,0,0,11/28/2012,04014F102,,320,0,60.1398,13809500,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
635,ARDI US,@Road Inc/United States,,,-2.4,63,45.3269,9,-20.13888931,407.94,9/29/2000,04648K105,,63,45.3269,,,11-Sep,Priced Within Range,Technology,Software,Applications Software
636,ARDS US,Aridis Pharmaceuticals Inc,53.5,-2748.7,-324.5,28.5064,7.9994,13,0,103.992,8/14/2018,40334104,-1.8,28.5064,7.9994,17.2665,3056440,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
637,ARDX US,Ardelyx Inc,33.3,-1566.4,-80.1,69.0046,18.5291,14,0.785714269,259.41,6/19/2014,39697107,-1.4,69.0046,18.5291,41.4247,77654600,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
638,ARES US,Ares Management Corp,108.4,8.7,0.8,220.199,80.6677,19,-2.105263233,1532.69,5/2/2014,03990B101,-15.8,220.199,80.6677,99.8473,173155000,21 - 23,Priced Below Range,Financial,Private Equity,Private Equity
639,AREXQ US,Approach Resources Inc,5.9,-18.6,-4.5,105.8,20.4058,12,4.916666508,244.87,11/8/2007,03834A103,0.3,105.8,20.4058,0.483565,452764,14 - 16,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn
640,ARGLU US,Argyle Security Inc,206,-22.8,-23.1,29.6004,4.76255,8,-0.625,38.1,1/25/2006,40311201,-0.2,29.6004,4.76255,,,8-Aug,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Security Services
641,ARGSQ US,Argos Therapeutics Inc,100.9,-2136.3,-84.5,49.8296,19.6527,8,0,157.22,2/7/2014,40221202,-11.7,49.8296,19.6527,0.11898,12596,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
642,ARI US,Apollo Commercial Real Estate,-2.8,56.5,3.4,200,21.525,20,-7.5,430.5,9/24/2009,03762U105,1.4,200,21.525,67.7091,95196300,20 - 20,Priced Within Range,Financial,REITS,REITS-Mortgage
643,ARII US,American Railcar Industries In,-25.3,29.8,9.9,205.275,21.2078,21,9.309523582,445.36,1/20/2006,02916P103,6.8,205.275,21.2078,0.187871,35853,16 - 18,Priced Above Range,Industrial,Miscellaneous Manufactur,Miscellaneous Manufactur
644,ARLO US,Arlo Technologies Inc,21.8,-12.8,-13.3,187.957,74.2473,16,38.125,1187.96,8/3/2018,04206A101,-0.2,187.957,74.2473,74.615,66013200,18 - 20,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Traffic Management Sys
