,Date,Company Name,Ticker,Sector,Price ($),Size (M),1,2,3,Rank,Turnover,Gain,Year
27,Nov 5,Xenon Pharmaceuticals Inc.,XENE,Health-Care,9.0,4,JEFF,WLFG,,,20.1%,16.7%,2014
28,Oct 30,Boot Barn Holdings Inc.,BOOT,Consumer-Services,16.0,5,JPM,JEFF,PPRJ,,137.7%,9.1%,2014
29,Oct 30,,,,17.0,6,MS,,,,94.4%,-80.9%,2014
30,Oct 29,Shell Midstream Partners L.P.,SHLX,Energy,23.0,40,BRCL,CITI,,,83.6%,25.4%,2014
31,Oct 29,Sientra Inc.,SIEN,Health-Care,15.0,5,PPRJ,Stifel,,,75.2%,11.7%,2014
32,Oct 22,,,,10.0,6,Stifel,JMPS,,,11.1%,0.3%,2014
33,Oct 22,DBV Technologies S.A.,DBVT,Health-Care,21.6,4,CITI,LRNK,,,29%,5.8%,2014
34,Oct 17,,,,19.0,21,BRCL,GS,MS,,38.9%,15.8%,2014
35,Oct 16,Atara Biotherapeutics Inc.,ATRA,Health-Care,11.0,5,CITI,GS,,,1%,31.8%,2014
36,Oct 15,Forward Pharma A/S,FWP,Health-Care,21.0,10,JEFF,LRNK,RBC,,38.7%,-16.7%,2014
37,Oct 15,,,,18.0,16,BAML,DB,,,43.7%,0%,2014
38,Oct 15,,,,21.0,17,BRCL,CITI,JPM,,101.3%,25.8%,2014
39,Oct 10,,,,13.0,13,CS,MS,,,60.4%,23.2%,2014
40,Oct 10,Dave & Buster`s Entertainment Inc.,PLAY,Consumer-Services,16.0,5,JEFF,PPRJ,,,119.8%,7.7%,2014
41,Oct 9,USD Partners LP,USDP,Transportation,17.0,9,BRCL,BAML,CITI,,57.9%,-5.9%,2014
42,Oct 9,HubSpot Inc.,HUBS,Technology,25.0,5,JPM,MS,UBS,,165.2%,20.4%,2014
43,Oct 9,Veritex Holdings Inc.,VBTX,Finance,13.0,2,SNDL,STPH,,,38.9%,7.3%,2014
44,Oct 3,Journey Medical Corporation,DERM,Health-Care,16.0,7,CITI,LRNK,,,72.1%,-2.8%,2014
45,Oct 2,Wayfair Inc.,W,Consumer-Services,29.0,11,BAML,CITI,GS,,145.5%,30.1%,2014
46,Oct 2,AAC Holdings Inc.,AAC,Health-Care,15.0,5,RAYJ,WLFG,WB,,56%,23.3%,2014
47,Oct 2,Atento S.A.,ATTO,Public-Utilities,15.0,10,BITA,CS,MS,,70%,-13.6%,2014
48,Oct 2,Calithera Biosciences Inc.,CALA,Health-Care,10.0,8,CITI,LRNK,,,57.9%,-5.9%,2014
49,Oct 1,Vascular Biogenics Ltd.,VBLT,Health-Care,6.0,6,DB,,,,18.6%,-2.5%,2014
50,Oct 1,,,,16.0,20,BAML,CS,GS,,120.3%,0.1%,2014
51,Sep 25,,,,16.0,30,CS,DB,MS,,63.8%,2.5%,2014
52,Sep 25,,,,12.5,800,AXOM,MLV,NWBR,,0%,5.2%,2014
53,Sep 24,,,,18.0,6,CS,GS,,,79%,-8.9%,2014
54,Sep 24,CyberArk Software Ltd.,CYBR,Technology,16.0,0.9K,BRCL,DB,JPM,,2424.4%,87.1%,2014
55,Sep 24,Citizens Financial Group Inc.,CFG,Finance,21.5,140,GS,MS,,,43.2%,7.3%,2014
56,Sep 24,Israel Chemicals Shs,ICL,Basic-Industries,7.0,60,BRCL,MS,,,43.4%,2.3%,2014
57,Sep 24,,,,12.0,13,CS,DB,MS,,90.9%,0.1%,2014
58,Sep 23,Grupo Aval Acciones y Valores S.A.,AVAL,Finance,13.5,81,GS,JPM,,,29.8%,0.6%,2014
59,Sep 19,Alibaba Group Holding Limited,BABA,Miscellaneous,68.0,320,CITI,CS,DB,,84.9%,38.1%,2014
60,Sep 18,,,,6.0,6,BRCL,COWN,,,238.2%,3.7%,2014
61,Sep 18,ProQR Therapeutics N.V.,PRQR,Health-Care,13.0,7,DB,LRNK,,,90.1%,13.3%,2014
62,Sep 17,Civitas Solutions Inc.,CIVI,Health-Care,17.0,11,BRCL,BAML,JEFF,,56.6%,-2.3%,2014
63,Sep 12,Affimed N.V.,AFMD,Health-Care,7.0,8,BMO,JEFF,LRNK,,44.6%,-18.6%,2014
64,Sep 12,ReWalk Robotics Ltd,RWLK,Health-Care,12.0,3,BRCL,JEFF,,,424.7%,113.3%,2014
65,Aug 13,Otonomy Inc.,OTIC,Health-Care,16.0,6,BAML,JPM,,,99.3%,7.2%,2014
66,Aug 8,Independence Contract Drilling Inc.,ICD,Energy,11.0,10,BRCL,MS,RBC,,41.2%,0.5%,2014
67,Aug 8,Ryerson Holding Corporation,RYI,Basic-Industries,11.0,11,BMO,BAML,DB,,60.6%,-6.4%,2014
68,Aug 8,,,,15.0,4,JEFF,SNDL,,,49%,13.7%,2014
69,Aug 7,T2 Biosystems Inc.,TTOO,Health-Care,11.0,5,GS,MS,,,56.1%,30.2%,2014
70,Aug 7,Hoegh LNG Partners LP,HMLP,Consumer-Services,20.0,9,BAML,CITI,MS,,63.4%,11.3%,2014
71,Aug 6,,,,6.0,9,JEFF,LRNK,,,1.9%,900%,2014
72,Aug 1,,,,13.0,5,COWN,Stifel,,,49.9%,0%,2014
73,Aug 1,,,,22.0,7,BAML,DB,JPM,,60.6%,-4.8%,2014
74,Jul 31,Catalent Inc.,CTLT,Health-Care,20.5,42,JPM,MS,,,33.4%,-2.5%,2014
75,Jul 31,HealthEquity Inc.,HQY,Miscellaneous,14.0,9,JPM,WLFG,,,79.5%,25.7%,2014
76,Jul 31,Marinus Pharmaceuticals Inc.,MRNS,Health-Care,8.0,5,JMPS,Stifel,,,11.1%,0%,2014
77,Jul 31,,,,11.0,3,AGIS,OPPN,ROTH,,10.1%,281.8%,2014
78,Jul 31,Synchrony Financial,SYF,Finance,23.0,125,GS,JPM,MS,,45.2%,0%,2014
79,Jul 30,Westlake Chemical Partners LP,WLKP,Basic-Industries,24.0,11,BRCL,UBS,,,102.6%,28.3%,2014
80,Jul 29,,,,18.0,3,RWB,Stifel,,,176.6%,-50.3%,2014
81,Jul 25,El Pollo Loco Holdings Inc.,LOCO,Consumer-Services,15.0,7,JEFF,MS,RWB,,329.5%,60.2%,2014
82,Jul 25,Ocular Therapeutix Inc.,OCUL,Health-Care,13.0,5,COWN,MS,RBC,,37.6%,1.2%,2014
83,Jul 25,Orion Engineered Carbons S.A,OEC,Basic-Industries,18.0,19,GS,MS,,,40.9%,-1.4%,2014
84,Jul 25,Advanced Drainage Systems Inc.,WMS,Capital-Goods,16.0,14,BRCL,DB,,,35.5%,0.9%,2014
85,Jul 24,,,,11.0,5,JPM,PPRJ,,,64%,17.5%,2014
86,Jul 24,Townsquare Media Inc.,TSQ,Consumer-Services,11.0,8,BAML,JEFF,RBC,,66.6%,-6.8%,2014
87,Jul 24,,,,6.0,8,JMPS,WB,,,14.1%,-11.7%,2014
88,Jul 24,,,,12.0,5,JEFF,LRNK,,,39.2%,0.4%,2014
89,Jul 23,"CareCloud, Inc",MTBC,Technology,5.0,4,AGIS,CHRD,SMRS,,46.4%,-14.4%,2014
90,Jul 18,Globant S.A.,GLOB,Technology,10.0,5,CITI,CS,JPM,,70.9%,12.5%,2014
91,Jul 18,Sage Therapeutics Inc.,SAGE,Health-Care,18.0,5,GS,JPM,,,116.4%,67.2%,2014
92,Jul 18,,,,25.0,20,BRCL,CITI,GS,,8.5%,-48.2%,2014
93,Jul 18,Trupanion Inc.,TRUP,Health-Care,10.0,7,BRCL,RBC,Stifel,,59.4%,14%,2014
94,Jul 17,,,,10.0,18,DB,,,,6.7%,0.1%,2014
95,Jul 17,CareDx Inc.,CDNA,Health-Care,10.0,4,LRNK,PPRJ,,,39.9%,-9.5%,2014
96,Jul 16,iRadimed Corporation,IRMD,Health-Care,6.3,2,ROTH,,,,44.7%,58.4%,2014
97,Jul 2,GlobeImmune Inc,GBIM,,10.0,1,AGIS,,,,61.2%,10.5%,2014
98,Jul 1,Investar Holding Corporation,ISTR,Finance,14.0,2,SNDL,STRN,,,27.7%,1.4%,2014
99,Jul 1,Minerva Neurosciences Inc,NERV,Health-Care,6.0,5,JEFF,,,,53.7%,0.8%,2014
100,Jun 27,,,,17.0,27,GS,JPM,,,64.9%,0.1%,2014
101,Jun 27,NextEra Energy Partners LP,NEP,Public-Utilities,25.0,16,BAML,GS,MS,,72.6%,28%,2014
102,Jun 26,,,,17.0,35,CS,GS,JPM,,36.3%,-28.5%,2014
103,Jun 26,GoPro Inc.,GPRO,Miscellaneous,24.0,17,BRCL,CITI,JPM,,257.3%,30.6%,2014
104,Jun 25,Amphastar Pharmaceuticals Inc.,AMPH,Health-Care,7.0,8,BMO,JEFF,PPRJ,,52%,25%,2014
105,Jun 25,Materialise NV,MTLS,Technology,12.0,8,CS,PPRJ,,,75.9%,-3.7%,2014
106,Jun 24,Xunlei Limited,XNET,Technology,12.0,7,CITI,JPM,,,145.6%,24.2%,2014
107,Jun 20,,,,27.0,30,CITI,GS,MS,,89.4%,-4.6%,2014
108,Jun 19,Ardelyx Inc.,ARDX,Health-Care,14.0,4,CITI,LRNK,,,36.9%,0.8%,2014
109,Jun 19,,,,16.0,6,COWN,LRNK,,,54.8%,23.4%,2014
110,Jun 18,Viper Energy Partners LP,VNOM,Energy,26.0,5,BRCL,CS,WLFG,,19.6%,24.4%,2014
111,Jun 18,,,,20.0,17,BRCL,CITI,MS,,84.7%,-5%,2014
112,Jun 18,Century Communities Inc.,CCS,Capital-Goods,23.0,4,DB,FBR,JPM,,94%,-7.6%,2014
113,Jun 13,Aspen Aerogels Inc.,ASPN,Consumer-Services,11.0,7,BRCL,CITI,JPM,,44.5%,-2.3%,2014
114,Jun 12,,,,9.0,11,BRCL,DB,GS,,90%,22.4%,2014
115,Jun 12,Trinseo S.A.,TSE,Basic-Industries,19.0,10,CITI,DB,GS,,54.5%,6.6%,2014
116,Jun 12,,,,16.0,5,JPM,MS,PRTO,,85.9%,-4.7%,2014
117,Jun 6,Radius Health Inc.,RDUS,Health-Care,8.0,6,COWN,JEFF,,,27.2%,0.1%,2014
118,Jun 6,Arista Networks Inc.,ANET,Technology,43.0,5,CITI,MS,,,138.2%,27.9%,2014
119,May 29,,,,6.0,2,MDBC,,,,17.7%,51.7%,2014
120,May 23,,,,18.5,50,CS,GS,,,44.6%,20%,2014
121,May 23,Agile Therapeutics Inc.,AGRX,Health-Care,6.0,9,RBC,WB,,,36.7%,-7.7%,2014
122,May 23,Heritage Insurance Holdings Inc.,HRTG,Finance,11.0,6,CITI,SNDL,,,36.8%,4.5%,2014
123,May 23,Superior Drilling Products Inc.,SDPI,Energy,4.0,6,ROTH,,,,16.7%,12.3%,2014
124,May 22,JD.com Inc.,JD,Consumer-Services,19.0,93,BAML,UBS,,,90.1%,10%,2014
125,May 20,Tecogen Inc.,TGEN,Capital-Goods,4.8,647,SCRS,,,,3.1%,34.1%,2014
126,May 16,TrueCar Inc.,TRUE,Technology,9.0,7,GS,JPM,RBC,,84.4%,11.8%,2014
127,May 16,,,,22.0,11,CS,GS,JPM,,142.9%,9.9%,2014
128,May 15,Bankwell Financial Group Inc.,BWFG,Finance,18.0,2,KBW,SNDL,,,18%,0%,2014
129,May 15,Zendesk Inc.,ZEN,Technology,9.0,11,CS,GS,MS,,75.8%,49.2%,2014
130,May 14,ServisFirst Bancshares Inc.,SFBS,Finance,91.0,625,SNDL,,,,447.7%,-84.4%,2014
131,May 9,Tuniu Corporation,TOUR,Consumer Services,9.0,8,CRNS,CS,MS,,77.8%,11.9%,2014
132,May 9,PBF Logistics LP,PBFX,Energy,23.0,13,BRCL,UBS,,,70.1%,20.3%,2014
133,May 8,Cheetah Mobile Inc.,CMCM,Technology,14.0,12,CS,JPM,MS,,64.1%,0.7%,2014
134,May 8,Dorian LPG Ltd.,LPG,Transportation,19.0,7,JPM,UBS,,,52.6%,-1.9%,2014
135,May 8,,,,10.0,8,CS,LRNK,,,24.4%,0.3%,2014
136,May 7,GasLog Partners LP,GLOP,Consumer-Services,21.0,8,CITI,CS,WLFG,,55.9%,24.3%,2014
137,May 2,SCYNEXIS Inc.,SCYX,Health-Care,10.0,6,CNCD,RBC,,,13.8%,-10%,2014
138,May 2,Papa Murphy`s Holdings Inc.,FRSH,Consumer-Services,11.0,5,JEFF,RWB,WLFG,,76.2%,0.5%,2014
139,May 2,Aldeyra Therapeutics Inc.,ALDX,Health-Care,8.0,1,AGIS,,,,38.5%,-10%,2014
140,May 2,Ares Management Corporation,ARES,Finance,19.0,11,BAML,JPM,,,67.7%,-2.1%,2014
141,Apr 17,,,,12.0,4,BAML,CS,WB,,22.2%,0%,2014
142,Apr 17,Sabre Corporation,SABR,Technology,16.0,39,BAML,DB,GS,,46.9%,3.1%,2014
143,Apr 17,Sportsman`s Warehouse Holdings Inc.,SPWH,Consumer-Services,9.5,12,CS,GS,,,44.5%,2.6%,2014
144,Apr 17,Leju Holdings Limited,LEJU,Finance,10.0,10,CS,JPM,MQRE,,89.8%,18.6%,2014
145,Apr 16,Moelis & Company,MC,Finance,25.0,6,GS,MS,,,68.3%,4.6%,2014
146,Apr 15,Paycom Software Inc.,PAYC,Technology,15.0,6,BRCL,JPM,,,53.2%,2.3%,2014
147,Apr 15,City Office REIT Inc.,CIO,Consumer-Services,12.5,5,JMS,OPPN,WUND,,6.5%,-0.8%,2014
148,Apr 14,Weibo Corporation,WB,Technology,17.0,16,CS,GS,GS,,194.9%,19.1%,2014
149,Apr 11,Phibro Animal Health Corporation,PAHC,Health-Care,15.0,12,BRCL,BAML,MS,,33.4%,13.3%,2014
150,Apr 11,Farmland Partners Inc.,FPI,Consumer-Services,14.0,3,BMO,JMS,RWB,,32.6%,-7.3%,2014
151,Apr 11,,,,20.0,25,BRCL,GS,MS,,73.1%,11%,2014
152,Apr 10,,,,16.0,3,CS,PPRJ,,,80.3%,-12.4%,2014
153,Apr 10,Ally Financial Inc.,ALLY,Finance,25.0,95,BRCL,CITI,GS,,66.9%,-4.1%,2014
154,Apr 9,,,,14.0,10,BAML,UBS,,,79.8%,8.6%,2014
155,Apr 4,,,,26.0,7,CITI,MS,,,148.1%,30.8%,2014
156,Apr 4,Five9 Inc.,FIVN,Technology,7.0,10,BRCL,BAML,JPM,,55.2%,9.1%,2014
157,Apr 3,,,,8.0,6,JEFF,LRNK,,,51.5%,0%,2014
158,Apr 3,Tarena International Inc.,TEDU,Consumer-Services,9.0,15,CS,GS,,,78.4%,0.7%,2014
159,Apr 2,,,,15.0,6,GS,MS,RBC,,125.1%,33.9%,2014
160,Apr 1,,,,8.0,1,AGIS,,,,34%,-0.6%,2014
161,Mar 28,Bluerock Residential Growth REIT Inc.,BRG,Consumer-Services,14.5,3,WUND,,,,9%,0.3%,2014
162,Mar 28,Aerohive Networks Inc.,HIVE,Technology,10.0,7,BAML,GS,,,101.3%,0%,2014
163,Mar 28,2U Inc.,TWOU,Technology,13.0,9,CS,GS,,,103.2%,7.5%,2014
164,Mar 28,Energous Corporation,WATT,Technology,6.0,4,MDBC,,,,47.6%,76.3%,2014
165,Mar 27,TriNet Group Inc.,TNET,Miscellaneous,16.0,15,DB,JPM,MS,,94.6%,19.4%,2014
166,Mar 27,Applied Genetic Technologies Corporation,AGTC,Health-Care,12.0,4,BRCL,BMO,WBSH,,37.6%,23%,2014
167,Mar 21,,,,13.0,7,Stifel,,,,70.8%,30.8%,2014
168,Mar 21,A10 Networks Inc.,ATEN,Technology,15.0,12,BAML,JPM,MS,,101.6%,8.1%,2014
169,Mar 21,Aravive Inc.,ARAV,Health-Care,21.0,6,CITI,MS,,,16.9%,796.3%,2014
170,Mar 20,Q2 Holdings Inc.,QTWO,Technology,13.0,7,JPM,Stifel,,,162.2%,16.7%,2014
171,Mar 20,Akebia Therapeutics Inc.,AKBA,Health-Care,17.0,5,CS,,,,79.5%,57.1%,2014
172,Mar 20,MediWound Ltd.,MDWD,Consumer-Durables,14.0,5,BMO,CS,JEFF,,108%,23.4%,2014
173,Mar 19,Paylocity Holding Corporation,PCTY,Technology,17.0,7,BAML,DB,WB,,133.9%,41.4%,2014
174,Mar 14,,,,16.0,11,GS,MS,,,104%,148.8%,2014
175,Mar 13,Galmed Pharmaceuticals Ltd.,GLMD,Health-Care,13.5,2,MXIM,,,,83%,6%,2014
176,Mar 12,,,,12.0,6,COWN,CS,,,56%,19.2%,2014
177,Mar 7,,,,11.0,4,COWN,JEFF,,,51.7%,8.6%,2014
178,Mar 7,Coupa Software Incorporated,COUP,Technology,16.0,10,BAML,GS,RBC,,159.6%,108%,2014
179,Mar 7,,,,8.0,3,AGIS,,,,30.6%,3.8%,2014
180,Feb 28,Varonis Systems Inc.,VRNS,Technology,22.0,4,BRCL,BRCL,MS,,153.7%,100%,2014
181,Feb 21,Semler Scientific Inc,SMLR,,7.0,1,AGIS,,,,32.1%,-0.1%,2014
182,Feb 14,Inogen Inc,INGN,Health-Care,16.0,4,JPM,,,,81.9%,-5.3%,2014
183,Feb 13,Concert Pharmaceuticals Inc.,CNCE,Health-Care,14.0,6,UBS,WLFG,,,69.3%,1.3%,2014
184,Feb 13,Installed Building Products Inc.,IBP,Basic-Industries,11.0,7,DB,UBS,,,51.1%,16.4%,2014
185,Feb 12,,,,13.0,5,BMO,WLFG,,,32%,13.2%,2014
186,Feb 12,Eagle Pharmaceuticals Inc.,EGRX,Health-Care,15.0,3,PPRJ,WB,,,177.3%,-14.5%,2014
187,Feb 7,,,,8.0,5,JMPS,PPRJ,Stifel,,15.6%,-72.9%,2014
188,Feb 6,Revance Therapeutics Inc.,RVNC,Health-Care,16.0,6,COWN,PPRJ,,,84%,67.8%,2014
189,Feb 6,Ladder Capital Corp,LADR,Consumer-Services,17.0,13,BAML,CITI,DB,,54.7%,-0.1%,2014
190,Feb 5,,,,14.0,11,CITI,CS,,,63.5%,8.5%,2014
191,Feb 5,uniQure N.V.,QURE,Health-Care,17.0,5,JEFF,LRNK,LRNK,,86.8%,-14.1%,2014
192,Feb 5,Genocea Biosciences Inc.,GNCA,Health-Care,12.0,5,CITI,COWN,,,38.4%,-8.3%,2014
193,Jan 31,Cara Therapeutics Inc.,CARA,Health-Care,11.0,5,PPRJ,Stifel,,,40.3%,17.4%,2014
194,Jan 31,,,,11.0,7,RAYJ,WLFG,,,48.1%,10.9%,2014
195,Jan 31,Ultragenyx Pharmaceutical Inc.,RARE,Health-Care,21.0,5,JPM,MS,,,76.3%,101.2%,2014
196,Jan 31,Malibu Boats Inc.,MBUU,Capital-Goods,14.0,7,BRCL,JEFF,,,72.2%,26.8%,2014
197,Jan 31,Trevena Inc.,TRVN,Health-Care,7.0,9,CITI,CS,JPM,,33.9%,-7.1%,2014
198,Jan 30,,,,15.0,6,BRCL,JPM,,,66.1%,206.7%,2014
199,Jan 24,,,,17.0,5,BRCL,CITI,GS,,139.7%,42.9%,2014
200,Jan 23,,,,5.5,2,CITI,JPM,,,1.5%,701.5%,2014
201,Jan 23,,,,24.0,74,AGIS,,,,45.5%,5%,2014
202,Jan 17,,,,20.0,35,BRCL,JPM,,,65.5%,-9.6%,2014
203,Jan 15,,,,20.0,3,BMO,RAYJ,RWB,,42.3%,6.5%,2014
204,Jan 10,GlycoMimetics Inc.,GLYC,Health-Care,8.0,7,JEFF,,,,57.3%,12.6%,2014
205,Jan 10,,,,8.5,4,BRCL,JEFF,,,51.7%,35.2%,2014
0,Dec 21,,,,4.0,2,NWBR,VWTR,,,8.5%,153.8%,2015
1,Dec 18,Yirendai Ltd.,YRD,Finance,10.0,7,CRNS,CS,MS,,71.6%,-9%,2015
2,Dec 10,Atlassian Corporation Plc,TEAM,Technology,21.0,22,GS,MS,,,68.2%,32.3%,2015
3,Nov 20,Duluth Holdings Inc.,DLTH,Consumer-Services,12.0,6,BMO,RAYJ,WB,,50.1%,13.8%,2015
4,Nov 20,,,,4.1,3,JOGU,RDMN,,,16.9%,-22.6%,2015
5,Nov 19,Axsome Therapeutics Inc.,AXSM,Health-Care,9.0,5,LDNT,,,,9.4%,-2.9%,2015
6,Nov 19,,,,10.0,7,BRCL,GS,JEFF,,92%,1%,2015
7,Nov 19,Match Group Inc.,MTCH,Technology,12.0,33,ALLN,BAML,JPM,,80.7%,22.8%,2015
8,Nov 19,Square Inc.,SQ,Technology,9.0,27,GS,JPM,MS,,175.6%,45.2%,2015
9,Nov 13,Mesoblast Limited,MESO,Health-Care,8.0,7,CS,JPM,,,6.2%,-14.4%,2015
10,Nov 13,Instructure Inc.,INST,Technology,16.0,4,GS,MS,,,80.5%,12.5%,2015
11,Nov 11,Voyager Therapeutics Inc.,VYGR,Health-Care,14.0,5,COWN,PPRJ,,,25.2%,26.8%,2015
12,Nov 11,WAVE Life Sciences Ltd.,WVE,Health-Care,16.0,6,JEFF,LRNK,,,21.4%,0%,2015
13,Nov 11,Equity Bancshares Inc.,EQBK,Finance,22.5,1,KBW,STPH,,,41.5%,6.2%,2015
14,Nov 5,Kura Oncology Inc.,KURA,Health-Care,8.0,6,CITI,LRNK,,,12.6%,-2%,2015
15,Nov 4,,,,5.0,4,BNHM,NONE,,,11.6%,-13%,2015
16,Oct 29,,,,10.0,5,COWN,CS,,,27.1%,5.3%,2015
17,Oct 27,,,,5.0,5,NDHM,OPPN,,,17.3%,18%,2015
18,Oct 23,,,,4.1,2,AGIS,JOGU,LDNT,,9.1%,-5.4%,2015
19,Oct 21,Ferrari N.V.,RACE,Capital-Goods,52.0,17,BAML,UBS,,,130.9%,5.8%,2015
20,Oct 16,,,,10.0,2,BAML,Stifel,,,31.3%,0.5%,2015
21,Oct 15,,,,16.0,160,BAML,CITI,MS,,40.6%,-1.6%,2015
22,Oct 9,CPI Card Group Inc.,PMTS,Finance,10.0,15,BMO,CIBC,GS,,9.8%,508.5%,2015
23,Oct 8,CytomX Therapeutics Inc.,CTMX,Health-Care,12.0,6,BAML,COWN,JEFF,,15%,7.5%,2015
24,Oct 8,Allegiance Bancshares Inc.,ABTX,Finance,21.0,2,RWB,STPH,,,47.7%,10.1%,2015
25,Oct 7,Aclaris Therapeutics Inc.,ACRS,Health-Care,11.0,5,CITI,JEFF,,,23.1%,0.5%,2015
26,Oct 7,Pure Storage Inc.,PSTG,Technology,17.0,25,ALLN,BRCL,GS,,75.2%,-5.8%,2015
27,Oct 2,NovoCure Limited,NVCR,Health-Care,22.0,7,DB,EVCR,JPM,,42.8%,-16.9%,2015
28,Oct 1,Surgery Partners Inc.,SGRY,Health-Care,19.0,14,BAML,GS,JEFF,,61.6%,-4.7%,2015
29,Oct 1,,,,11.0,7,CS,LRNK,,,25%,17.6%,2015
30,Oct 1,Performance Food Group Company,PFGC,Consumer-Non-Durables,19.0,14,BRCL,CS,,,39%,1.1%,2015
31,Sep 18,Nabriva Therapeutics plc,NBRV,Health-Care,10.3,9,LRNK,RBC,,,21.2%,29.2%,2015
32,Sep 18,Penumbra Inc.,PEN,Health-Care,30.0,4,BAML,JPM,,,86.1%,37.7%,2015
33,Sep 17,REGENXBIO Inc.,RGNX,Health-Care,22.0,6,BAML,MS,PPRJ,,57.1%,38.4%,2015
34,Aug 18,Benitec Biopharma Limited,BNTC,Health-Care,9.2,1,BMO,MXIM,,,31.4%,-13.5%,2015
35,Aug 13,Houlihan Lokey Inc,HLI,Finance,21.0,10,BAML,GS,,,44.9%,6.7%,2015
36,Aug 13,Conifer Holdings Inc.,CNFR,Finance,10.5,3,BMO,RAYJ,,,17.1%,1%,2015
37,Aug 12,Global Blood Therapeutics Inc.,GBT,Health-Care,20.0,6,GS,MS,,,115.9%,115.6%,2015
38,Aug 6,,,,16.0,10,BAML,CS,,,75.3%,50.6%,2015
39,Aug 6,Planet Fitness Inc.,PLNT,Consumer-Services,16.0,13,BAML,CS,JPM,,119.8%,0%,2015
40,Aug 5,Sunrun Inc.,RUN,Capital-Goods,14.0,17,CS,GS,MS,,78.7%,-23.1%,2015
41,Aug 5,Zynerba Pharmaceuticals Inc.,ZYNE,Health-Care,14.0,3,JEFF,PPRJ,,,51.2%,16.1%,2015
42,Aug 4,,,,6.0,5,MXIM,ROTH,,,6.9%,0%,2015
43,Jul 31,Aqua Metals Inc.,AQMS,Basic Industries,5.0,6,NTNL,,,,8.1%,7%,2015
44,Jul 31,Xcel Brands Inc,XELB,Miscellaneous,9.0,1,WUND,,,,5.5%,-1.7%,2015
45,Jul 30,vTv Therapeutics Inc.,VTVT,Health-Care,15.0,7,PPRJ,Stifel,,,64.2%,-27.4%,2015
46,Jul 28,,,,25.0,8,CITI,JEFF,PPRJ,,153.9%,38.6%,2015
47,Jul 23,,,,15.0,4,BMO,RBC,UBS,,66.7%,30.3%,2015
48,Jul 23,Live Oak Bancshares Inc.,LOB,Finance,17.0,4,SNDL,,,,57.4%,12.2%,2015
49,Jul 17,Ooma Inc.,OOMA,Technology,13.0,5,BAML,CS,,,75.7%,-15.8%,2015
50,Jul 17,Rapid7 Inc.,RPD,Technology,16.0,6,BRCL,MS,,,164.4%,58%,2015
51,Jul 16,Ollie`s Bargain Outlet Holdings Inc.,OLLI,Consumer-Services,16.0,8,BAML,JPM,JEFF,,141.1%,32.2%,2015
52,Jul 16,,,,10.0,5,CRNS,CS,,,48.3%,10.8%,2015
53,Jul 16,,,,16.0,6,BRCL,COWN,,,85.2%,25%,2015
54,Jul 7,Hailiang Education Group Inc.,HLG,Consumer-Services,7.0,2,ROTH,TAGL,,,1.5%,28.6%,2015
55,Jul 2,Natera Inc.,NTRA,Health-Care,18.0,10,COWN,MS,PPRJ,,136.6%,26.3%,2015
56,Jul 1,ConforMIS Inc.,CFMS,Health-Care,15.0,9,DB,JPM,,,63.5%,28.3%,2015
57,Jul 1,Teladoc Health Inc.,TDOC,Health-Care,19.0,8,DB,JPM,,,127.4%,50%,2015
58,Jul 1,Unique Fabricating Inc.,UFAB,Capital-Goods,9.5,2,ROTH,TAGL,,,24.4%,42%,2015
59,Jun 26,Alarm.com Holdings Inc.,ALRM,Technology,14.0,7,BAML,CS,GS,,129.8%,20.6%,2015
60,Jun 26,AppFolio Inc.,APPF,Technology,12.0,6,CS,MS,,,56.9%,17.3%,2015
61,Jun 26,Green Plains Partners LP,GPP,Basic-Industries,15.0,10,BRCL,BAML,,,72.8%,0%,2015
62,Jun 26,Seres Therapeutics Inc.,MCRB,Health-Care,18.0,7,BAML,GS,,,122.1%,185.6%,2015
63,Jun 29,,,,6.3,2,AXOM,CUTN,NLND,,6.6%,393.6%,2015
64,Jun 25,TransUnion,TRU,Finance,22.5,29,BAML,DB,GS,,87.7%,12.9%,2015
65,Jun 25,,,,20.0,14,BRCL,BAML,JPM,,58.4%,-2.1%,2015
66,Jun 25,Lantheus Holdings Inc.,LNTH,Health-Care,6.0,10,CITI,CS,JEFF,,19.1%,12.8%,2015
67,Jun 25,Glaukos Corporation,GKOS,Health-Care,18.0,6,BAML,GS,JPM,,125.9%,73.4%,2015
68,Jun 25,,,,12.0,5,CITI,COWN,,,40.3%,8.3%,2015
69,Jun 24,,,,5.0,4,AGIS,CHRD,,,36.4%,-0.8%,2015
70,Jun 19,,,,14.0,7,CS,MS,UBS,,143.5%,-17.4%,2015
71,Jun 19,Celyad SA,CYAD,Health-Care,68.6,1,PPRJ,UBS,,,61.2%,-20.4%,2015
72,Jun 18,,,,20.0,36,BAML,DB,MS,,141.1%,48.4%,2015
73,Jun 18,Univar Inc.,UNVR,Consumer-Durables,22.0,35,BAML,DB,GS,,51.4%,15.5%,2015
74,Jun 12,Wingstop Inc.,WING,Consumer-Services,19.0,5,JEFF,MS,RWB,,187.9%,61%,2015
75,Jun 11,,,,14.5,2,DAVD,,,,56.4%,15.2%,2015
76,Jun 11,,,,15.0,21,EVCR,JEFF,RBC,,53.9%,99.3%,2015
77,Jun 5,Evolent Health Inc,EVH,Consumer-Services,17.0,11,GS,JPM,,,94%,10.9%,2015
